"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              2,              0,              2,              0,              0,              0,
2020-03-09,              6,            3.0,              4,              0,              0,              0,
2020-03-10,             10,          1.667,              4,              0,              0,              0,
2020-03-11,             15,            1.5,              5,              1,              0,              1,
2020-03-12,             23,          1.533,              8,              1,            1.0,              0,
2020-03-13,             33,          1.435,             10,              1,            1.0,              0,
2020-03-14,             38,          1.152,              5,              1,            1.0,              0,
2020-03-15,             42,          1.105,              4,              1,            1.0,              0,
2020-03-16,             51,          1.214,              9,              1,            1.0,              0,
2020-03-17,             55,          1.078,              4,              1,            1.0,              0,
2020-03-18,             59,          1.073,              4,              2,            2.0,              1,
2020-03-19,             64,          1.085,              5,              2,            1.0,              0,
2020-03-20,             70,          1.094,              6,              2,            1.0,              0,
2020-03-21,             76,          1.086,              6,              2,            1.0,              0,
2020-03-22,             89,          1.171,             13,              2,            1.0,              0,
2020-03-23,            104,          1.169,             15,              4,            2.0,              2,
2020-03-24,            123,          1.183,             19,              5,           1.25,              1,
2020-03-25,            146,          1.187,             23,              5,            1.0,              0,
2020-03-26,            174,          1.192,             28,              6,            1.2,              1,
2020-03-27,            186,          1.069,             12,              8,          1.333,              2,
2020-03-28,            197,          1.059,             11,             10,           1.25,              2,
2020-03-29,            212,          1.076,             15,             10,            1.0,              0,
2020-03-30,            223,          1.052,             11,             11,            1.1,              1,
2020-03-31,            243,           1.09,             20,             15,          1.364,              4,
2020-04-01,            259,          1.066,             16,             15,            1.0,              0,
2020-04-02,            277,          1.069,             18,             16,          1.067,              1,
2020-04-03,            304,          1.097,             27,             17,          1.062,              1,
2020-04-04,            333,          1.095,             29,             20,          1.176,              3,
2020-04-05,            361,          1.084,             28,             20,            1.0,              0,
2020-04-06,            377,          1.044,             16,             21,           1.05,              1,
2020-04-07,            383,          1.016,              6,             22,          1.048,              1,
2020-04-08,            400,          1.044,             17,             22,            1.0,              0,
2020-04-09,            409,          1.022,              9,             23,          1.045,              1,
2020-04-10,            416,          1.017,              7,             23,            1.0,              0,
