"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              1,              0,              1,              0,              0,              0,
2020-02-26,              1,            1.0,              0,              0,              0,              0,
2020-02-27,              1,            1.0,              0,              0,              0,              0,
2020-02-28,              1,            1.0,              0,              0,              0,              0,
2020-02-29,              1,            1.0,              0,              0,              0,              0,
2020-03-01,              3,            3.0,              2,              0,              0,              0,
2020-03-02,              5,          1.667,              2,              0,              0,              0,
2020-03-03,              8,            1.6,              3,              0,              0,              0,
2020-03-04,             17,          2.125,              9,              0,              0,              0,
2020-03-05,             17,            1.0,              0,              0,              0,              0,
2020-03-06,             17,            1.0,              0,              0,              0,              0,
2020-03-07,             19,          1.118,              2,              0,              0,              0,
2020-03-08,             20,          1.053,              1,              0,              0,              0,
2020-03-09,             20,            1.0,              0,              0,              0,              0,
2020-03-10,             20,            1.0,              0,              0,              0,              0,
2020-03-11,             20,            1.0,              0,              0,              0,              0,
2020-03-12,             26,            1.3,              6,              2,              0,              2,
2020-03-13,             26,            1.0,              0,              2,            1.0,              0,
2020-03-14,             39,            1.5,             13,              3,            1.5,              1,
2020-03-15,             54,          1.385,             15,              4,          1.333,              1,
2020-03-16,             60,          1.111,              6,              4,            1.0,              0,
2020-03-17,             61,          1.017,              1,              5,           1.25,              1,
2020-03-18,             75,           1.23,             14,              7,            1.4,              2,
2020-03-19,             90,            1.2,             15,              9,          1.286,              2,
2020-03-20,             94,          1.044,              4,             11,          1.222,              2,
2020-03-21,            139,          1.479,             45,             15,          1.364,              4,
2020-03-22,            201,          1.446,             62,             17,          1.133,              2,
2020-03-23,            230,          1.144,             29,             17,            1.0,              0,
2020-03-24,            264,          1.148,             34,             19,          1.118,              2,
2020-03-25,            302,          1.144,             38,             21,          1.105,              2,
2020-03-26,            367,          1.215,             65,             25,           1.19,              4,
2020-03-27,            409,          1.114,             42,             26,           1.04,              1,
2020-03-28,            454,           1.11,             45,             29,          1.115,              3,
2020-03-29,            511,          1.126,             57,             31,          1.069,              2,
2020-03-30,            584,          1.143,             73,             35,          1.129,              4,
2020-03-31,            716,          1.226,            132,             44,          1.257,              9,
2020-04-01,            847,          1.183,            131,             58,          1.318,             14,
2020-04-02,            986,          1.164,            139,             86,          1.483,             28,
2020-04-03,           1171,          1.188,            185,            105,          1.221,             19,
2020-04-04,           1251,          1.068,             80,            130,          1.238,             25,
2020-04-05,           1320,          1.055,             69,            152,          1.169,             22,
2020-04-06,           1423,          1.078,            103,            173,          1.138,             21,
2020-04-07,           1468,          1.032,             45,            193,          1.116,             20,
2020-04-08,           1572,          1.071,            104,            205,          1.062,             12,
2020-04-09,           1666,           1.06,             94,            235,          1.146,             30,
2020-04-10,           1761,          1.057,             95,            256,          1.089,             21,
