"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,              1,               ,              1,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              1,            1.0,              0,               ,               ,               ,
2020-03-13,              1,            1.0,              0,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              5,            5.0,              4,               ,               ,               ,
2020-03-16,             14,            2.8,              9,               ,               ,               ,
2020-03-17,             39,          2.786,             25,               ,               ,               ,
2020-03-18,             53,          1.359,             14,               ,               ,               ,
2020-03-19,             74,          1.396,             21,               ,               ,               ,
2020-03-20,             75,          1.014,              1,               ,               ,               ,
2020-03-21,             88,          1.173,             13,               ,               ,               ,
2020-03-22,            113,          1.284,             25,              1,               ,              1,
2020-03-23,            133,          1.177,             20,              1,            1.0,              0,
2020-03-24,            164,          1.233,             31,              1,            1.0,              0,
2020-03-25,            188,          1.146,             24,              1,            1.0,              0,
2020-03-26,            224,          1.191,             36,              3,            3.0,              2,
2020-03-27,            267,          1.192,             43,              3,            1.0,              0,
2020-03-28,            308,          1.154,             41,              3,            1.0,              0,
2020-03-29,            334,          1.084,             26,              6,            2.0,              3,
2020-03-30,            370,          1.108,             36,              8,          1.333,              2,
2020-03-31,            376,          1.016,              6,             12,            1.5,              4,
2020-04-01,            390,          1.037,             14,             14,          1.167,              2,
2020-04-02,            428,          1.097,             38,             15,          1.071,              1,
2020-04-03,            439,          1.026,             11,             16,          1.067,              1,
2020-04-04,            466,          1.062,             27,             17,          1.062,              1,
2020-04-05,            501,          1.075,             35,             18,          1.059,              1,
2020-04-06,            525,          1.048,             24,             21,          1.167,              3,
