"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,              1,               ,              1,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              2,            2.0,              1,               ,               ,               ,
2020-03-06,              8,            4.0,              6,               ,               ,               ,
2020-03-07,              9,          1.125,              1,              1,               ,              1,
2020-03-08,             12,          1.333,              3,              1,            1.0,              0,
2020-03-09,             17,          1.417,              5,              1,            1.0,              0,
2020-03-10,             19,          1.118,              2,              1,            1.0,              0,
2020-03-11,             21,          1.105,              2,              1,            1.0,              0,
2020-03-12,             31,          1.476,             10,              1,            1.0,              0,
2020-03-13,             34,          1.097,              3,              2,            2.0,              1,
2020-03-14,             45,          1.324,             11,              2,            1.0,              0,
2020-03-15,             56,          1.244,             11,              2,            1.0,              0,
2020-03-16,             65,          1.161,              9,              2,            1.0,              0,
2020-03-17,             79,          1.215,             14,              2,            1.0,              0,
2020-03-18,             97,          1.228,             18,              2,            1.0,              0,
2020-03-19,            128,           1.32,             31,              3,            1.5,              1,
2020-03-20,            158,          1.234,             30,              3,            1.0,              0,
2020-03-21,            158,            1.0,              0,              4,          1.333,              1,
2020-03-22,            266,          1.684,            108,              4,            1.0,              0,
2020-03-23,            301,          1.132,             35,              4,            1.0,              0,
2020-03-24,            387,          1.286,             86,              6,            1.5,              2,
2020-03-25,            502,          1.297,            115,              8,          1.333,              2,
2020-03-26,            589,          1.173,             87,             12,            1.5,              4,
2020-03-27,            589,            1.0,              0,             13,          1.083,              1,
2020-03-28,            745,          1.265,            156,             19,          1.462,              6,
2020-03-29,            820,          1.101,             75,             20,          1.053,              1,
2020-03-30,            820,            1.0,              0,             23,           1.15,              3,
2020-03-31,           1054,          1.285,            234,             27,          1.174,              4,
2020-04-01,           1133,          1.075,             79,             32,          1.185,              5,
2020-04-02,           1265,          1.117,            132,             36,          1.125,              4,
2020-04-03,           1353,           1.07,             88,             42,          1.167,              6,
