"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              2,              0,              2,              0,              0,              0,
2020-03-14,              2,            1.0,              0,              0,              0,              0,
2020-03-15,              2,            1.0,              0,              0,              0,              0,
2020-03-16,              2,            1.0,              0,              0,              0,              0,
2020-03-17,              3,            1.5,              1,              0,              0,              0,
2020-03-18,              4,          1.333,              1,              0,              0,              0,
2020-03-19,              5,           1.25,              1,              0,              0,              0,
2020-03-20,              5,            1.0,              0,              0,              0,              0,
2020-03-21,              5,            1.0,              0,              0,              0,              0,
2020-03-22,              9,            1.8,              4,              0,              0,              0,
2020-03-23,              9,            1.0,              0,              0,              0,              0,
2020-03-24,             17,          1.889,              8,              0,              0,              0,
2020-03-25,             19,          1.118,              2,              0,              0,              0,
2020-03-26,             28,          1.474,              9,              0,              0,              0,
2020-03-27,             33,          1.179,              5,              0,              0,              0,
2020-03-28,             46,          1.394,             13,              0,              0,              0,
2020-03-29,             50,          1.087,              4,              0,              0,              0,
2020-03-30,             50,            1.0,              0,              0,              0,              0,
2020-03-31,             55,            1.1,              5,              0,              0,              0,
2020-04-01,             55,            1.0,              0,              0,              0,              0,
2020-04-02,             60,          1.091,              5,              0,              0,              0,
2020-04-03,             62,          1.033,              2,              0,              0,              0,
2020-04-04,             64,          1.032,              2,              0,              0,              0,
2020-04-05,             64,            1.0,              0,              0,              0,              0,
2020-04-06,             71,          1.109,              7,              0,              0,              0,
2020-04-07,             74,          1.042,              3,              0,              0,              0,
2020-04-08,             77,          1.041,              3,              0,              0,              0,
2020-04-09,             82,          1.065,              5,              0,              0,              0,
2020-04-10,             86,          1.049,              4,              0,              0,              0,
