"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,              2,               ,              2,               ,               ,               ,
2020-02-26,              2,            1.0,              0,               ,               ,               ,
2020-02-27,              5,            2.5,              3,               ,               ,               ,
2020-02-28,              7,            1.4,              2,               ,               ,               ,
2020-02-29,             10,          1.429,              3,               ,               ,               ,
2020-03-01,             14,            1.4,              4,               ,               ,               ,
2020-03-02,             18,          1.286,              4,               ,               ,               ,
2020-03-03,             24,          1.333,              6,               ,               ,               ,
2020-03-04,             29,          1.208,              5,               ,               ,               ,
2020-03-05,             43,          1.483,             14,               ,               ,               ,
2020-03-06,             66,          1.535,             23,               ,               ,               ,
2020-03-07,             81,          1.227,             15,               ,               ,               ,
2020-03-08,            104,          1.284,             23,               ,               ,               ,
2020-03-09,            131,           1.26,             27,               ,               ,               ,
2020-03-10,            182,          1.389,             51,               ,               ,               ,
2020-03-11,            246,          1.352,             64,               ,               ,               ,
2020-03-12,            361,          1.467,            115,              1,               ,              1,
2020-03-13,            504,          1.396,            143,              1,            1.0,              0,
2020-03-14,            655,            1.3,            151,              1,            1.0,              0,
2020-03-15,            860,          1.313,            205,              1,            1.0,              0,
2020-03-16,           1018,          1.184,            158,              3,            3.0,              2,
2020-03-17,           1332,          1.308,            314,              4,          1.333,              1,
2020-03-18,           1646,          1.236,            314,              4,            1.0,              0,
2020-03-19,           2179,          1.324,            533,              6,            1.5,              2,
2020-03-20,           2649,          1.216,            470,              6,            1.0,              0,
2020-03-21,           2992,          1.129,            343,              8,          1.333,              2,
2020-03-22,           3582,          1.197,            590,             16,            2.0,              8,
2020-03-23,           4474,          1.249,            892,             21,          1.312,              5,
2020-03-24,           5283,          1.181,            809,             28,          1.333,              7,
2020-03-25,           5588,          1.058,            305,             31,          1.107,              3,
2020-03-26,           6909,          1.236,           1321,             49,          1.581,             18,
2020-03-27,           7697,          1.114,            788,             58,          1.184,              9,
2020-03-28,           8271,          1.075,            574,             68,          1.172,             10,
2020-03-29,           8788,          1.063,            517,             86,          1.265,             18,
2020-03-30,           9618,          1.094,            830,            108,          1.256,             22,
2020-03-31,          10180,          1.058,            562,            128,          1.185,             20,
2020-04-01,          10711,          1.052,            531,            146,          1.141,             18,
2020-04-02,          11129,          1.039,            418,            158,          1.082,             12,
2020-04-03,          11524,          1.035,            395,            168,          1.063,             10,
