"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              2,              0,              2,              0,              0,              0,
2020-02-25,             23,           11.5,             21,              0,              0,              0,
2020-02-26,             33,          1.435,             10,              0,              0,              0,
2020-02-27,             33,            1.0,              0,              0,              0,              0,
2020-02-28,             38,          1.152,              5,              0,              0,              0,
2020-02-29,             41,          1.079,              3,              0,              0,              0,
2020-03-01,             47,          1.146,              6,              0,              0,              0,
2020-03-02,             49,          1.043,              2,              0,              0,              0,
2020-03-03,             49,            1.0,              0,              0,              0,              0,
2020-03-04,             52,          1.061,              3,              0,              0,              0,
2020-03-05,             55,          1.058,              3,              0,              0,              0,
2020-03-06,             60,          1.091,              5,              0,              0,              0,
2020-03-07,             85,          1.417,             25,              0,              0,              0,
2020-03-08,             85,            1.0,              0,              0,              0,              0,
2020-03-09,            109,          1.282,             24,              0,              0,              0,
2020-03-10,            110,          1.009,              1,              0,              0,              0,
2020-03-11,            195,          1.773,             85,              0,              0,              0,
2020-03-12,            197,           1.01,              2,              0,              0,              0,
2020-03-13,            210,          1.066,             13,              0,              0,              0,
2020-03-14,            212,           1.01,              2,              0,              0,              0,
2020-03-15,            214,          1.009,              2,              0,              0,              0,
2020-03-16,            228,          1.065,             14,              1,              0,              1,
2020-03-17,            241,          1.057,             13,              1,            1.0,              0,
2020-03-18,            256,          1.062,             15,              1,            1.0,              0,
2020-03-19,            279,           1.09,             23,              1,            1.0,              0,
2020-03-20,            298,          1.068,             19,              1,            1.0,              0,
2020-03-21,            310,           1.04,             12,              1,            1.0,              0,
2020-03-22,            334,          1.077,             24,              2,            2.0,              1,
2020-03-23,            377,          1.129,             43,              2,            1.0,              0,
2020-03-24,            392,           1.04,             15,              3,            1.5,              1,
2020-03-25,            419,          1.069,             27,              4,          1.333,              1,
2020-03-26,            458,          1.093,             39,              4,            1.0,              0,
2020-03-27,            466,          1.017,              8,              4,            1.0,              0,
2020-03-28,            476,          1.021,             10,              4,            1.0,              0,
2020-03-29,            499,          1.048,             23,              4,            1.0,              0,
2020-03-30,            515,          1.032,             16,              4,            1.0,              0,
2020-03-31,            567,          1.101,             52,              4,            1.0,              0,
2020-04-01,            569,          1.004,              2,              4,            1.0,              0,
2020-04-02,            643,           1.13,             74,              4,            1.0,              0,
2020-04-03,            672,          1.045,             29,              4,            1.0,              0,
2020-04-04,            688,          1.024,             16,              4,            1.0,              0,
2020-04-05,            700,          1.017,             12,              4,            1.0,              0,
2020-04-06,            756,           1.08,             56,              4,            1.0,              0,
2020-04-07,            811,          1.073,             55,              5,           1.25,              1,
2020-04-08,            823,          1.015,             12,              5,            1.0,              0,
2020-04-09,            887,          1.078,             64,              5,            1.0,              0,
2020-04-10,            925,          1.043,             38,              6,            1.2,              1,
