"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              2,              0,              2,              0,              0,              0,
2020-03-18,              2,            1.0,              0,              0,              0,              0,
2020-03-19,              5,            2.5,              3,              0,              0,              0,
2020-03-20,              6,            1.2,              1,              0,              0,              0,
2020-03-21,             14,          2.333,              8,              0,              0,              0,
2020-03-22,             14,            1.0,              0,              0,              0,              0,
2020-03-23,             17,          1.214,              3,              0,              0,              0,
2020-03-24,             18,          1.059,              1,              0,              0,              0,
2020-03-25,             18,            1.0,              0,              0,              0,              0,
2020-03-26,             24,          1.333,              6,              0,              0,              0,
2020-03-27,             26,          1.083,              2,              0,              0,              0,
2020-03-28,             26,            1.0,              0,              0,              0,              0,
2020-03-29,             33,          1.269,              7,              0,              0,              0,
2020-03-30,             33,            1.0,              0,              0,              0,              0,
2020-03-31,             34,           1.03,              1,              0,              0,              0,
2020-04-01,             45,          1.324,             11,              0,              0,              0,
2020-04-02,             46,          1.022,              1,              0,              0,              0,
2020-04-03,             51,          1.109,              5,              0,              0,              0,
2020-04-04,             52,           1.02,              1,              0,              0,              0,
2020-04-05,             56,          1.077,              4,              1,              0,              1,
2020-04-06,             60,          1.071,              4,              2,            2.0,              1,
2020-04-07,             63,           1.05,              3,              3,            1.5,              1,
2020-04-08,             63,            1.0,              0,              3,            1.0,              0,
2020-04-09,             66,          1.048,              3,              3,            1.0,              0,
2020-04-10,             67,          1.015,              1,              4,          1.333,              1,
