"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              1,              0,              1,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              1,            1.0,              0,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              1,            1.0,              0,              0,              0,              0,
2020-03-16,              1,            1.0,              0,              0,              0,              0,
2020-03-17,              1,            1.0,              0,              0,              0,              0,
2020-03-18,              1,            1.0,              0,              0,              0,              0,
2020-03-19,              1,            1.0,              0,              0,              0,              0,
2020-03-20,              2,            2.0,              1,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              2,            1.0,              0,              0,              0,              0,
2020-03-23,              2,            1.0,              0,              0,              0,              0,
2020-03-24,              2,            1.0,              0,              0,              0,              0,
2020-03-25,              2,            1.0,              0,              0,              0,              0,
2020-03-26,              2,            1.0,              0,              0,              0,              0,
2020-03-27,              3,            1.5,              1,              0,              0,              0,
2020-03-28,              3,            1.0,              0,              0,              0,              0,
2020-03-29,              4,          1.333,              1,              0,              0,              0,
2020-03-30,              4,            1.0,              0,              0,              0,              0,
2020-03-31,              4,            1.0,              0,              0,              0,              0,
2020-04-01,              4,            1.0,              0,              0,              0,              0,
2020-04-02,              5,           1.25,              1,              0,              0,              0,
2020-04-03,              5,            1.0,              0,              0,              0,              0,
2020-04-04,              5,            1.0,              0,              0,              0,              0,
2020-04-05,              5,            1.0,              0,              0,              0,              0,
2020-04-06,              5,            1.0,              0,              0,              0,              0,
2020-04-07,              5,            1.0,              0,              0,              0,              0,
2020-04-08,              5,            1.0,              0,              0,              0,              0,
2020-04-09,              5,            1.0,              0,              0,              0,              0,
2020-04-10,              5,            1.0,              0,              0,              0,              0,
