"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              2,              0,              2,              0,              0,              0,
2020-03-11,              2,            1.0,              0,              0,              0,              0,
2020-03-12,              3,            1.5,              1,              0,              0,              0,
2020-03-13,             10,          3.333,              7,              0,              0,              0,
2020-03-14,             10,            1.0,              0,              0,              0,              0,
2020-03-15,             10,            1.0,              0,              0,              0,              0,
2020-03-16,             11,            1.1,              1,              0,              0,              0,
2020-03-17,             12,          1.091,              1,              0,              0,              0,
2020-03-18,             12,            1.0,              0,              0,              0,              0,
2020-03-19,             15,           1.25,              3,              0,              0,              0,
2020-03-20,             16,          1.067,              1,              0,              0,              0,
2020-03-21,             19,          1.188,              3,              0,              0,              0,
2020-03-22,             24,          1.263,              5,              0,              0,              0,
2020-03-23,             27,          1.125,              3,              0,              0,              0,
2020-03-24,             29,          1.074,              2,              0,              0,              0,
2020-03-25,             32,          1.103,              3,              0,              0,              0,
2020-03-26,             61,          1.906,             29,              0,              0,              0,
2020-03-27,             61,            1.0,              0,              0,              0,              0,
2020-03-28,             74,          1.213,             13,              0,              0,              0,
2020-03-29,             81,          1.095,              7,              1,              0,              1,
2020-03-30,             97,          1.198,             16,              4,            4.0,              3,
2020-03-31,            107,          1.103,             10,              6,            1.5,              2,
2020-04-01,            115,          1.075,              8,              7,          1.167,              1,
2020-04-02,            123,           1.07,              8,              8,          1.143,              1,
2020-04-03,            132,          1.073,              9,              9,          1.125,              1,
2020-04-04,            139,          1.053,              7,             10,          1.111,              1,
2020-04-05,            157,          1.129,             18,             10,            1.0,              0,
2020-04-06,            183,          1.166,             26,             11,            1.1,              1,
2020-04-07,            194,           1.06,             11,             14,          1.273,              3,
2020-04-08,            210,          1.082,             16,             15,          1.071,              1,
2020-04-09,            264,          1.257,             54,             18,            1.2,              3,
2020-04-10,            268,          1.015,              4,             19,          1.056,              1,
