"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              2,              0,              2,              0,              0,              0,
2020-03-06,              3,            1.5,              1,              0,              0,              0,
2020-03-07,              3,            1.0,              0,              0,              0,              0,
2020-03-08,              3,            1.0,              0,              0,              0,              0,
2020-03-09,              5,          1.667,              2,              0,              0,              0,
2020-03-10,              7,            1.4,              2,              0,              0,              0,
2020-03-11,              7,            1.0,              0,              0,              0,              0,
2020-03-12,             11,          1.571,              4,              0,              0,              0,
2020-03-13,             18,          1.636,              7,              0,              0,              0,
2020-03-14,             21,          1.167,              3,              0,              0,              0,
2020-03-15,             24,          1.143,              3,              0,              0,              0,
2020-03-16,             25,          1.042,              1,              0,              0,              0,
2020-03-17,             34,           1.36,              9,              0,              0,              0,
2020-03-18,             39,          1.147,              5,              0,              0,              0,
2020-03-19,             64,          1.641,             25,              0,              0,              0,
2020-03-20,             89,          1.391,             25,              0,              0,              0,
2020-03-21,             93,          1.045,              4,              1,              0,              1,
2020-03-22,            126,          1.355,             33,              1,            1.0,              0,
2020-03-23,            136,          1.079,             10,              1,            1.0,              0,
2020-03-24,            168,          1.235,             32,              3,            3.0,              2,
2020-03-25,            176,          1.048,              8,              3,            1.0,              0,
2020-03-26,            191,          1.085,             15,              3,            1.0,              0,
2020-03-27,            237,          1.241,             46,              4,          1.333,              1,
2020-03-28,            278,          1.173,             41,              6,            1.5,              2,
2020-03-29,            323,          1.162,             45,              6,            1.0,              0,
2020-03-30,            368,          1.139,             45,             10,          1.667,              4,
2020-03-31,            420,          1.141,             52,             13,            1.3,              3,
2020-04-01,            459,          1.093,             39,             13,            1.0,              0,
2020-04-02,            533,          1.161,             74,             16,          1.231,              3,
2020-04-03,            579,          1.086,             46,             17,          1.062,              1,
2020-04-04,            624,          1.078,             45,             21,          1.235,              4,
2020-04-05,            654,          1.048,             30,             23,          1.095,              2,
2020-04-06,            674,          1.031,             20,             29,          1.261,              6,
2020-04-07,            764,          1.134,             90,             33,          1.138,              4,
2020-04-08,            804,          1.052,             40,             34,           1.03,              1,
2020-04-09,            858,          1.067,             54,             35,          1.029,              1,
2020-04-10,            901,           1.05,             43,             36,          1.029,              1,
