"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,              1,               ,              1,               ,               ,               ,
2020-02-26,              1,            1.0,              0,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              2,            2.0,              1,               ,               ,               ,
2020-03-01,              2,            1.0,              0,               ,               ,               ,
2020-03-02,              2,            1.0,              0,               ,               ,               ,
2020-03-03,              2,            1.0,              0,               ,               ,               ,
2020-03-04,              3,            1.5,              1,               ,               ,               ,
2020-03-05,              8,          2.667,              5,               ,               ,               ,
2020-03-06,             13,          1.625,              5,               ,               ,               ,
2020-03-07,             19,          1.462,              6,               ,               ,               ,
2020-03-08,             25,          1.316,              6,               ,               ,               ,
2020-03-09,             25,            1.0,              0,               ,               ,               ,
2020-03-10,             34,           1.36,              9,               ,               ,               ,
2020-03-11,             52,          1.529,             18,               ,               ,               ,
2020-03-12,             77,          1.481,             25,               ,               ,               ,
2020-03-13,            151,          1.961,             74,               ,               ,               ,
2020-03-14,            151,            1.0,              0,               ,               ,               ,
2020-03-15,            200,          1.325,             49,               ,               ,               ,
2020-03-16,            234,           1.17,             34,               ,               ,               ,
2020-03-17,            346,          1.479,            112,              1,               ,              1,
2020-03-18,            529,          1.529,            183,              4,            4.0,              3,
2020-03-19,            640,           1.21,            111,              7,           1.75,              3,
2020-03-20,            970,          1.516,            330,             11,          1.571,              4,
2020-03-21,           1178,          1.214,            208,             18,          1.636,              7,
2020-03-22,           1546,          1.312,            368,             25,          1.389,              7,
2020-03-23,           1924,          1.245,            378,             34,           1.36,              9,
2020-03-24,           2247,          1.168,            323,             46,          1.353,             12,
2020-03-25,           2554,          1.137,            307,             59,          1.283,             13,
2020-03-26,           2985,          1.169,            431,             77,          1.305,             18,
2020-03-27,           3417,          1.145,            432,             92,          1.195,             15,
2020-03-28,           3904,          1.143,            487,            114,          1.239,             22,
2020-03-29,           4256,           1.09,            352,            136,          1.193,             22,
2020-03-30,           4630,          1.088,            374,            163,          1.199,             27,
2020-03-31,           5717,          1.235,           1087,            201,          1.233,             38,
2020-04-01,           6880,          1.203,           1163,            242,          1.204,             41,
2020-04-02,           8044,          1.169,           1164,            324,          1.339,             82,
2020-04-03,           9194,          1.143,           1150,            363,           1.12,             39,
