"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              1,              0,              1,              0,              0,              0,
2020-03-10,              6,            6.0,              5,              0,              0,              0,
2020-03-11,             11,          1.833,              5,              0,              0,              0,
2020-03-12,             25,          2.273,             14,              0,              0,              0,
2020-03-13,             37,           1.48,             12,              0,              0,              0,
2020-03-14,             40,          1.081,              3,              0,              0,              0,
2020-03-15,             50,           1.25,             10,              0,              0,              0,
2020-03-16,             54,           1.08,              4,              0,              0,              0,
2020-03-17,             56,          1.037,              2,              0,              0,              0,
2020-03-18,             68,          1.214,             12,              0,              0,              0,
2020-03-19,             73,          1.074,              5,              0,              0,              0,
2020-03-20,             78,          1.068,              5,              0,              0,              0,
2020-03-21,             83,          1.064,              5,              0,              0,              0,
2020-03-22,             88,           1.06,              5,              0,              0,              0,
2020-03-23,             91,          1.034,              3,              0,              0,              0,
2020-03-24,            104,          1.143,             13,              0,              0,              0,
2020-03-25,            109,          1.048,              5,              0,              0,              0,
2020-03-26,            114,          1.046,              5,              0,              0,              0,
2020-03-27,            115,          1.009,              1,              0,              0,              0,
2020-03-28,            120,          1.043,              5,              1,              0,              1,
2020-03-29,            126,           1.05,              6,              1,            1.0,              0,
2020-03-30,            127,          1.008,              1,              1,            1.0,              0,
2020-03-31,            129,          1.016,              2,              1,            1.0,              0,
2020-04-01,            131,          1.016,              2,              1,            1.0,              0,
2020-04-02,            133,          1.015,              2,              1,            1.0,              0,
2020-04-03,            134,          1.008,              1,              1,            1.0,              0,
2020-04-04,            135,          1.007,              1,              1,            1.0,              0,
2020-04-05,            135,            1.0,              0,              1,            1.0,              0,
2020-04-06,            135,            1.0,              0,              1,            1.0,              0,
2020-04-07,            135,            1.0,              0,              1,            1.0,              0,
2020-04-08,            135,            1.0,              0,              1,            1.0,              0,
2020-04-09,            135,            1.0,              0,              1,            1.0,              0,
2020-04-10,            136,          1.007,              1,              1,            1.0,              0,
