"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              1,              0,              1,              0,              0,              0,
2020-03-10,              2,            2.0,              1,              0,              0,              0,
2020-03-11,              2,            1.0,              0,              0,              0,              0,
2020-03-12,              2,            1.0,              0,              0,              0,              0,
2020-03-13,              2,            1.0,              0,              0,              0,              0,
2020-03-14,              2,            1.0,              0,              0,              0,              0,
2020-03-15,              3,            1.5,              1,              0,              0,              0,
2020-03-16,             15,            5.0,             12,              0,              0,              0,
2020-03-17,             15,            1.0,              0,              0,              0,              0,
2020-03-18,             27,            1.8,             12,              1,              0,              1,
2020-03-19,             33,          1.222,              6,              1,            1.0,              0,
2020-03-20,             40,          1.212,              7,              1,            1.0,              0,
2020-03-21,             64,            1.6,             24,              3,            3.0,              2,
2020-03-22,             75,          1.172,             11,              4,          1.333,              1,
2020-03-23,             99,           1.32,             24,              4,            1.0,              0,
2020-03-24,            114,          1.152,             15,              4,            1.0,              0,
2020-03-25,            146,          1.281,             32,              4,            1.0,              0,
2020-03-26,            152,          1.041,              6,              7,           1.75,              3,
2020-03-27,            180,          1.184,             28,              9,          1.286,              2,
2020-03-28,            207,           1.15,             27,             11,          1.222,              2,
2020-03-29,            222,          1.072,             15,             12,          1.091,              1,
2020-03-30,            246,          1.108,             24,             12,            1.0,              0,
2020-03-31,            261,          1.061,             15,             14,          1.167,              2,
2020-04-01,            282,           1.08,             21,             16,          1.143,              2,
2020-04-02,            288,          1.021,              6,             16,            1.0,              0,
2020-04-03,            302,          1.049,             14,             16,            1.0,              0,
2020-04-04,            318,          1.053,             16,             16,            1.0,              0,
2020-04-05,            345,          1.085,             27,             17,          1.062,              1,
2020-04-06,            364,          1.055,             19,             18,          1.059,              1,
2020-04-07,            384,          1.055,             20,             19,          1.056,              1,
2020-04-08,            414,          1.078,             30,             23,          1.211,              4,
2020-04-09,            443,           1.07,             29,             24,          1.043,              1,
2020-04-10,            448,          1.011,              5,             26,          1.083,              2,
