"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              1,            1.0,              0,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              2,            2.0,              1,               ,               ,               ,
2020-03-08,              2,            1.0,              0,               ,               ,               ,
2020-03-09,              2,            1.0,              0,               ,               ,               ,
2020-03-10,              3,            1.5,              1,               ,               ,               ,
2020-03-11,              5,          1.667,              2,               ,               ,               ,
2020-03-12,              5,            1.0,              0,               ,               ,               ,
2020-03-13,              7,            1.4,              2,               ,               ,               ,
2020-03-14,              7,            1.0,              0,               ,               ,               ,
2020-03-15,             12,          1.714,              5,               ,               ,               ,
2020-03-16,             12,            1.0,              0,               ,               ,               ,
2020-03-17,             33,           2.75,             21,               ,               ,               ,
2020-03-18,             37,          1.121,              4,               ,               ,               ,
2020-03-19,             37,            1.0,              0,               ,               ,               ,
2020-03-20,             51,          1.378,             14,               ,               ,               ,
2020-03-21,             53,          1.039,              2,               ,               ,               ,
2020-03-22,             84,          1.585,             31,               ,               ,               ,
2020-03-23,             87,          1.036,              3,               ,               ,               ,
2020-03-24,             91,          1.046,              4,               ,               ,               ,
2020-03-25,             96,          1.055,              5,               ,               ,               ,
2020-03-26,             98,          1.021,              2,               ,               ,               ,
2020-03-27,             99,           1.01,              1,               ,               ,               ,
2020-03-28,             99,            1.0,              0,               ,               ,               ,
2020-03-29,            103,           1.04,              4,               ,               ,               ,
2020-03-30,            107,          1.039,              4,               ,               ,               ,
2020-03-31,            109,          1.019,              2,               ,               ,               ,
2020-04-01,            109,            1.0,              0,               ,               ,               ,
2020-04-02,            110,          1.009,              1,               ,               ,               ,
2020-04-03,            114,          1.036,              4,               ,               ,               ,
2020-04-04,            114,            1.0,              0,               ,               ,               ,
