"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              2,              0,              2,              0,              0,              0,
2020-03-07,              2,            1.0,              0,              0,              0,              0,
2020-03-08,              2,            1.0,              0,              0,              0,              0,
2020-03-09,              2,            1.0,              0,              0,              0,              0,
2020-03-10,              2,            1.0,              0,              0,              0,              0,
2020-03-11,              2,            1.0,              0,              0,              0,              0,
2020-03-12,              2,            1.0,              0,              0,              0,              0,
2020-03-13,              2,            1.0,              0,              0,              0,              0,
2020-03-14,              3,            1.5,              1,              0,              0,              0,
2020-03-15,              4,          1.333,              1,              0,              0,              0,
2020-03-16,              5,           1.25,              1,              0,              0,              0,
2020-03-17,             10,            2.0,              5,              0,              0,              0,
2020-03-18,             13,            1.3,              3,              0,              0,              0,
2020-03-19,             13,            1.0,              0,              0,              0,              0,
2020-03-20,             27,          2.077,             14,              0,              0,              0,
2020-03-21,             40,          1.481,             13,              0,              0,              0,
2020-03-22,             40,            1.0,              0,              0,              0,              0,
2020-03-23,             56,            1.4,             16,              0,              0,              0,
2020-03-24,             66,          1.179,             10,              1,              0,              1,
2020-03-25,             75,          1.136,              9,              1,            1.0,              0,
2020-03-26,             75,            1.0,              0,              1,            1.0,              0,
2020-03-27,             91,          1.213,             16,              2,            2.0,              1,
2020-03-28,             91,            1.0,              0,              2,            1.0,              0,
2020-03-29,            139,          1.527,             48,              6,            3.0,              4,
2020-03-30,            139,            1.0,              0,              6,            1.0,              0,
2020-03-31,            193,          1.388,             54,              6,            1.0,              0,
2020-04-01,            233,          1.207,             40,              6,            1.0,              0,
2020-04-02,            306,          1.313,             73,              7,          1.167,              1,
2020-04-03,            509,          1.663,            203,              8,          1.143,              1,
2020-04-04,            555,           1.09,             46,              9,          1.125,              1,
2020-04-05,            650,          1.171,             95,              9,            1.0,              0,
2020-04-06,            658,          1.012,              8,              9,            1.0,              0,
2020-04-07,            685,          1.041,             27,              9,            1.0,              0,
2020-04-08,            730,          1.066,             45,             10,          1.111,              1,
2020-04-09,            803,            1.1,             73,             12,            1.2,              2,
2020-04-10,            820,          1.021,             17,             12,            1.0,              0,
