"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              8,               ,              8,               ,               ,               ,
2020-02-16,              8,            1.0,              0,               ,               ,               ,
2020-02-17,              8,            1.0,              0,               ,               ,               ,
2020-02-18,              8,            1.0,              0,               ,               ,               ,
2020-02-19,              8,            1.0,              0,               ,               ,               ,
2020-02-20,              8,            1.0,              0,               ,               ,               ,
2020-02-21,              9,          1.125,              1,               ,               ,               ,
2020-02-22,              9,            1.0,              0,               ,               ,               ,
2020-02-23,             10,          1.111,              1,               ,               ,               ,
2020-02-24,             11,            1.1,              1,               ,               ,               ,
2020-02-25,             11,            1.0,              0,               ,               ,               ,
2020-02-26,             12,          1.091,              1,               ,               ,               ,
2020-02-27,             14,          1.167,              2,               ,               ,               ,
2020-02-28,             15,          1.071,              1,               ,               ,               ,
2020-02-29,             20,          1.333,              5,               ,               ,               ,
2020-03-01,             24,            1.2,              4,               ,               ,               ,
2020-03-02,             27,          1.125,              3,               ,               ,               ,
2020-03-03,             30,          1.111,              3,               ,               ,               ,
2020-03-04,             34,          1.133,              4,               ,               ,               ,
2020-03-05,             37,          1.088,              3,               ,               ,               ,
2020-03-06,             54,          1.459,             17,               ,               ,               ,
2020-03-07,             60,          1.111,              6,               ,               ,               ,
2020-03-08,             66,            1.1,              6,               ,               ,               ,
2020-03-09,             77,          1.167,             11,              1,               ,              1,
2020-03-10,             95,          1.234,             18,              1,            1.0,              0,
2020-03-11,            110,          1.158,             15,              1,            1.0,              0,
2020-03-12,            142,          1.291,             32,              1,            1.0,              0,
2020-03-13,            198,          1.394,             56,              1,            1.0,              0,
2020-03-14,            252,          1.273,             54,              1,            1.0,              0,
2020-03-15,            341,          1.353,             89,              1,            1.0,              0,
2020-03-16,            441,          1.293,            100,              4,            4.0,              3,
2020-03-17,            598,          1.356,            157,              8,            2.0,              4,
2020-03-18,            727,          1.216,            129,              9,          1.125,              1,
2020-03-19,            873,          1.201,            146,             12,          1.333,              3,
2020-03-20,           1087,          1.245,            214,             12,            1.0,              0,
2020-03-21,           1328,          1.222,            241,             19,          1.583,              7,
2020-03-22,           1470,          1.107,            142,             20,          1.053,              1,
2020-03-23,           2091,          1.422,            621,             24,            1.2,              4,
2020-03-24,           2792,          1.335,            701,             26,          1.083,              2,
2020-03-25,           3409,          1.221,            617,             36,          1.385,             10,
2020-03-26,           4043,          1.186,            634,             39,          1.083,              3,
2020-03-27,           4757,          1.177,            714,             55,           1.41,             16,
2020-03-28,           5655,          1.189,            898,             60,          1.091,              5,
2020-03-29,           6320,          1.118,            665,             65,          1.083,              5,
2020-03-30,           7448,          1.178,           1128,             89,          1.369,             24,
2020-03-31,           8612,          1.156,           1164,            101,          1.135,             12,
2020-04-01,           9731,           1.13,           1119,            114,          1.129,             13,
2020-04-02,          11283,          1.159,           1552,            173,          1.518,             59,
2020-04-03,          12375,          1.097,           1092,            208,          1.202,             35,
2020-04-04,          13912,          1.124,           1537,            231,          1.111,             23,
2020-04-05,          15512,          1.115,           1600,            280,          1.212,             49,
