"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              1,              0,              1,              0,              0,              0,
2020-03-04,              3,            3.0,              2,              0,              0,              0,
2020-03-05,              4,          1.333,              1,              0,              0,              0,
2020-03-06,              5,           1.25,              1,              0,              0,              0,
2020-03-07,              7,            1.4,              2,              0,              0,              0,
2020-03-08,             10,          1.429,              3,              0,              0,              0,
2020-03-09,             13,            1.3,              3,              0,              0,              0,
2020-03-10,             17,          1.308,              4,              0,              0,              0,
2020-03-11,             23,          1.353,              6,              0,              0,              0,
2020-03-12,             33,          1.435,             10,              0,              0,              0,
2020-03-13,             43,          1.303,             10,              0,              0,              0,
2020-03-14,             61,          1.419,             18,              0,              0,              0,
2020-03-15,             75,           1.23,             14,              0,              0,              0,
2020-03-16,            156,           2.08,             81,              0,              0,              0,
2020-03-17,            201,          1.288,             45,              0,              0,              0,
2020-03-18,            238,          1.184,             37,              0,              0,              0,
2020-03-19,            342,          1.437,            104,              0,              0,              0,
2020-03-20,            434,          1.269,             92,              0,              0,              0,
2020-03-21,            537,          1.237,            103,              1,              0,              1,
2020-03-22,            632,          1.177,             95,              1,            1.0,              0,
2020-03-23,            746,           1.18,            114,              2,            2.0,              1,
2020-03-24,            922,          1.236,            176,              2,            1.0,              0,
2020-03-25,           1142,          1.239,            220,              3,            1.5,              1,
2020-03-26,           1306,          1.144,            164,              4,          1.333,              1,
2020-03-27,           1610,          1.233,            304,              5,           1.25,              1,
2020-03-28,           1909,          1.186,            299,              6,            1.2,              1,
2020-03-29,           2139,           1.12,            230,              7,          1.167,              1,
2020-03-30,           2449,          1.145,            310,              8,          1.143,              1,
2020-03-31,           2738,          1.118,            289,             12,            1.5,              4,
2020-04-01,           3031,          1.107,            293,             16,          1.333,              4,
2020-04-02,           3404,          1.123,            373,             18,          1.125,              2,
2020-04-03,           3737,          1.098,            333,             22,          1.222,              4,
2020-04-04,           4161,          1.113,            424,             27,          1.227,              5,
2020-04-05,           4471,          1.075,            310,             34,          1.259,              7,
2020-04-06,           4815,          1.077,            344,             37,          1.088,              3,
2020-04-07,           5116,          1.063,            301,             43,          1.162,              6,
2020-04-08,           5546,          1.084,            430,             48,          1.116,              5,
2020-04-09,           5972,          1.077,            426,             57,          1.188,              9,
2020-04-10,           6501,          1.089,            529,             65,           1.14,              8,
