"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             56,               ,             56,              1,               ,              1,
2020-02-16,             57,          1.018,              1,              1,            1.0,              0,
2020-02-17,             60,          1.053,              3,              1,            1.0,              0,
2020-02-18,             62,          1.033,              2,              1,            1.0,              0,
2020-02-19,             65,          1.048,              3,              2,            2.0,              1,
2020-02-20,             69,          1.062,              4,              2,            1.0,              0,
2020-02-21,             69,            1.0,              0,              2,            1.0,              0,
2020-02-22,             70,          1.014,              1,              2,            1.0,              0,
2020-02-23,             74,          1.057,              4,              2,            1.0,              0,
2020-02-24,             81,          1.095,              7,              2,            1.0,              0,
2020-02-25,             85,          1.049,              4,              2,            1.0,              0,
2020-02-26,             89,          1.047,              4,              2,            1.0,              0,
2020-02-27,             92,          1.034,              3,              2,            1.0,              0,
2020-02-28,             93,          1.011,              1,              2,            1.0,              0,
2020-02-29,             95,          1.022,              2,              2,            1.0,              0,
2020-03-01,            100,          1.053,              5,              2,            1.0,              0,
2020-03-02,            100,            1.0,              0,              2,            1.0,              0,
2020-03-03,            101,           1.01,              1,              2,            1.0,              0,
2020-03-04,            103,           1.02,              2,              2,            1.0,              0,
2020-03-05,            105,          1.019,              2,              2,            1.0,              0,
2020-03-06,            108,          1.029,              3,              2,            1.0,              0,
2020-03-07,            108,            1.0,              0,              2,            1.0,              0,
2020-03-08,            115,          1.065,              7,              3,            1.5,              1,
2020-03-09,            116,          1.009,              1,              3,            1.0,              0,
2020-03-10,            121,          1.043,              5,              3,            1.0,              0,
2020-03-11,            130,          1.074,              9,              3,            1.0,              0,
2020-03-12,            131,          1.008,              1,              3,            1.0,              0,
2020-03-13,            132,          1.008,              1,              4,          1.333,              1,
2020-03-14,            142,          1.076,             10,              4,            1.0,              0,
2020-03-15,            149,          1.049,              7,              4,            1.0,              0,
2020-03-16,            155,           1.04,              6,              4,            1.0,              0,
2020-03-17,            168,          1.084,             13,              4,            1.0,              0,
2020-03-18,            193,          1.149,             25,              4,            1.0,              0,
2020-03-19,            208,          1.078,             15,              4,            1.0,              0,
2020-03-20,            256,          1.231,             48,              4,            1.0,              0,
2020-03-21,            274,           1.07,             18,              4,            1.0,              0,
2020-03-22,            318,          1.161,             44,              4,            1.0,              0,
2020-03-23,            357,          1.123,             39,              4,            1.0,              0,
2020-03-24,            387,          1.084,             30,              4,            1.0,              0,
2020-03-25,            411,          1.062,             24,              4,            1.0,              0,
2020-03-26,            454,          1.105,             43,              4,            1.0,              0,
2020-03-27,            519,          1.143,             65,              4,            1.0,              0,
2020-03-28,            560,          1.079,             41,              4,            1.0,              0,
2020-03-29,            642,          1.146,             82,              4,            1.0,              0,
2020-03-30,            683,          1.064,             41,              4,            1.0,              0,
2020-03-31,            715,          1.047,             32,              4,            1.0,              0,
2020-04-01,            766,          1.071,             51,              4,            1.0,              0,
2020-04-02,            802,          1.047,             36,              4,            1.0,              0,
2020-04-03,            845,          1.054,             43,              4,            1.0,              0,
2020-04-04,            862,           1.02,             17,              4,            1.0,              0,
2020-04-05,            891,          1.034,             29,              4,            1.0,              0,
2020-04-06,            915,          1.027,             24,              4,            1.0,              0,
