"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             10,               ,             10,               ,               ,               ,
2020-02-16,             10,            1.0,              0,               ,               ,               ,
2020-02-17,             10,            1.0,              0,               ,               ,               ,
2020-02-18,             10,            1.0,              0,               ,               ,               ,
2020-02-19,             10,            1.0,              0,               ,               ,               ,
2020-02-20,             10,            1.0,              0,               ,               ,               ,
2020-02-21,             10,            1.0,              0,               ,               ,               ,
2020-02-22,             10,            1.0,              0,               ,               ,               ,
2020-02-23,             10,            1.0,              0,               ,               ,               ,
2020-02-24,             10,            1.0,              0,               ,               ,               ,
2020-02-25,             10,            1.0,              0,               ,               ,               ,
2020-02-26,             10,            1.0,              0,               ,               ,               ,
2020-02-27,             10,            1.0,              0,               ,               ,               ,
2020-02-28,             10,            1.0,              0,               ,               ,               ,
2020-02-29,             10,            1.0,              0,               ,               ,               ,
2020-03-01,             10,            1.0,              0,               ,               ,               ,
2020-03-02,             10,            1.0,              0,               ,               ,               ,
2020-03-03,             10,            1.0,              0,               ,               ,               ,
2020-03-04,             10,            1.0,              0,               ,               ,               ,
2020-03-05,             10,            1.0,              0,               ,               ,               ,
2020-03-06,             10,            1.0,              0,               ,               ,               ,
2020-03-07,             10,            1.0,              0,               ,               ,               ,
2020-03-08,             10,            1.0,              0,               ,               ,               ,
2020-03-09,             10,            1.0,              0,               ,               ,               ,
2020-03-10,             10,            1.0,              0,               ,               ,               ,
2020-03-11,             10,            1.0,              0,               ,               ,               ,
2020-03-12,             10,            1.0,              0,               ,               ,               ,
2020-03-13,             10,            1.0,              0,               ,               ,               ,
2020-03-14,             10,            1.0,              0,               ,               ,               ,
2020-03-15,             11,            1.1,              1,               ,               ,               ,
2020-03-16,             12,          1.091,              1,               ,               ,               ,
2020-03-17,             13,          1.083,              1,               ,               ,               ,
2020-03-18,             17,          1.308,              4,               ,               ,               ,
2020-03-19,             17,            1.0,              0,               ,               ,               ,
2020-03-20,             17,            1.0,              0,               ,               ,               ,
2020-03-21,             19,          1.118,              2,               ,               ,               ,
2020-03-22,             22,          1.158,              3,               ,               ,               ,
2020-03-23,             25,          1.136,              3,               ,               ,               ,
2020-03-24,             29,           1.16,              4,               ,               ,               ,
2020-03-25,             31,          1.069,              2,               ,               ,               ,
2020-03-26,             33,          1.065,              2,               ,               ,               ,
2020-03-27,             34,           1.03,              1,               ,               ,               ,
2020-03-28,             34,            1.0,              0,               ,               ,               ,
2020-03-29,             37,          1.088,              3,               ,               ,               ,
2020-03-30,             38,          1.027,              1,               ,               ,               ,
2020-03-31,             41,          1.079,              3,               ,               ,               ,
2020-04-01,             41,            1.0,              0,               ,               ,               ,
2020-04-02,             41,            1.0,              0,               ,               ,               ,
2020-04-03,             42,          1.024,              1,               ,               ,               ,
2020-04-04,             44,          1.048,              2,               ,               ,               ,
