"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-01-22,            571,              0,            571,             17,              0,             17,
2020-01-23,            830,          1.454,            259,             25,          1.471,              8,
2020-01-24,           1287,          1.551,            457,             41,           1.64,             16,
2020-01-25,           1975,          1.535,            688,             56,          1.366,             15,
2020-01-26,           2744,          1.389,            769,             80,          1.429,             24,
2020-01-27,           4515,          1.645,           1771,            106,          1.325,             26,
2020-01-28,           5974,          1.323,           1459,            132,          1.245,             26,
2020-01-29,           7711,          1.291,           1737,            170,          1.288,             38,
2020-01-30,           9692,          1.257,           1981,            213,          1.253,             43,
2020-01-31,          11791,          1.217,           2099,            259,          1.216,             46,
2020-02-01,          14380,           1.22,           2589,            304,          1.174,             45,
2020-02-02,          17205,          1.196,           2825,            361,          1.188,             57,
2020-02-03,          20440,          1.188,           3235,            425,          1.177,             64,
2020-02-04,          24324,           1.19,           3884,            490,          1.153,             65,
2020-02-05,          28018,          1.152,           3694,            563,          1.149,             73,
2020-02-06,          31161,          1.112,           3143,            636,           1.13,             73,
2020-02-07,          34546,          1.109,           3385,            722,          1.135,             86,
2020-02-08,          37198,          1.077,           2652,            811,          1.123,             89,
2020-02-09,          40171,           1.08,           2973,            908,           1.12,             97,
2020-02-10,          42638,          1.061,           2467,           1016,          1.119,            108,
2020-02-11,          44653,          1.047,           2015,           1113,          1.095,             97,
2020-02-12,          58761,          1.316,          14108,           1259,          1.131,            146,
2020-02-13,          63851,          1.087,           5090,           1380,          1.096,            121,
2020-02-14,          66492,          1.041,           2641,           1523,          1.104,            143,
2020-02-15,          68500,           1.03,           2008,           1665,          1.093,            142,
2020-02-16,          70548,           1.03,           2048,           1770,          1.063,            105,
2020-02-17,          72436,          1.027,           1888,           1868,          1.055,             98,
2020-02-18,          74185,          1.024,           1749,           2004,          1.073,            136,
2020-02-19,          74576,          1.005,            391,           2118,          1.057,            114,
2020-02-20,          75465,          1.012,            889,           2236,          1.056,            118,
2020-02-21,          76288,          1.011,            823,           2345,          1.049,            109,
2020-02-22,          76936,          1.008,            648,           2442,          1.041,             97,
2020-02-23,          77150,          1.003,            214,           2592,          1.061,            150,
2020-02-24,          77658,          1.007,            508,           2663,          1.027,             71,
2020-02-25,          78064,          1.005,            406,           2715,           1.02,             52,
2020-02-26,          78497,          1.006,            433,           2744,          1.011,             29,
2020-02-27,          78824,          1.004,            327,           2788,          1.016,             44,
2020-02-28,          79251,          1.005,            427,           2835,          1.017,             47,
2020-02-29,          79824,          1.007,            573,           2870,          1.012,             35,
2020-03-01,          80026,          1.003,            202,           2912,          1.015,             42,
2020-03-02,          80151,          1.002,            125,           2943,          1.011,             31,
2020-03-03,          80270,          1.001,            119,           2981,          1.013,             38,
2020-03-04,          80409,          1.002,            139,           3012,           1.01,             31,
2020-03-05,          80552,          1.002,            143,           3042,           1.01,             30,
2020-03-06,          80651,          1.001,             99,           3070,          1.009,             28,
2020-03-07,          80695,          1.001,             44,           3097,          1.009,             27,
2020-03-08,          80735,            1.0,             40,           3119,          1.007,             22,
2020-03-09,          80754,            1.0,             19,           3136,          1.005,             17,
2020-03-10,          80778,            1.0,             24,           3158,          1.007,             22,
2020-03-11,          80793,            1.0,             15,           3169,          1.003,             11,
2020-03-12,          80813,            1.0,             20,           3176,          1.002,              7,
2020-03-13,          80824,            1.0,             11,           3189,          1.004,             13,
2020-03-14,          80844,            1.0,             20,           3199,          1.003,             10,
2020-03-15,          80860,            1.0,             16,           3213,          1.004,             14,
2020-03-16,          80881,            1.0,             21,           3226,          1.004,             13,
2020-03-17,          80894,            1.0,             13,           3237,          1.003,             11,
2020-03-18,          80928,            1.0,             34,           3245,          1.002,              8,
2020-03-19,          80967,            1.0,             39,           3248,          1.001,              3,
2020-03-20,          81008,          1.001,             41,           3255,          1.002,              7,
2020-03-21,          81054,          1.001,             46,           3261,          1.002,              6,
2020-03-22,          81093,            1.0,             39,           3270,          1.003,              9,
2020-03-23,          81171,          1.001,             78,           3277,          1.002,              7,
2020-03-24,          81218,          1.001,             47,           3281,          1.001,              4,
2020-03-25,          81285,          1.001,             67,           3287,          1.002,              6,
2020-03-26,          81340,          1.001,             55,           3292,          1.002,              5,
2020-03-27,          81394,          1.001,             54,           3295,          1.001,              3,
2020-03-28,          81439,          1.001,             45,           3300,          1.002,              5,
2020-03-29,          81439,            1.0,              0,           3300,            1.0,              0,
2020-03-30,          81518,          1.001,             79,           3305,          1.002,              5,
2020-03-31,          81554,            1.0,             36,           3312,          1.002,              7,
2020-04-01,          81589,            1.0,             35,           3318,          1.002,              6,
2020-04-02,          81620,            1.0,             31,           3322,          1.001,              4,
2020-04-03,          81639,            1.0,             19,           3326,          1.001,              4,
2020-04-04,          81669,            1.0,             30,           3329,          1.001,              3,
2020-04-05,          81708,            1.0,             39,           3331,          1.001,              2,
2020-04-06,          81740,            1.0,             32,           3331,            1.0,              0,
2020-04-07,          81802,          1.001,             62,           3333,          1.001,              2,
2020-04-08,          81865,          1.001,             63,           3335,          1.001,              2,
2020-04-09,          81907,          1.001,             42,           3336,            1.0,              1,
2020-04-10,          81953,          1.001,             46,           3339,          1.001,              3,
