"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              1,              0,              1,              0,              0,              0,
2020-03-16,              1,            1.0,              0,              0,              0,              0,
2020-03-17,              1,            1.0,              0,              0,              0,              0,
2020-03-18,              1,            1.0,              0,              0,              0,              0,
2020-03-19,              3,            3.0,              2,              0,              0,              0,
2020-03-20,              3,            1.0,              0,              0,              0,              0,
2020-03-21,              3,            1.0,              0,              0,              0,              0,
2020-03-22,              3,            1.0,              0,              0,              0,              0,
2020-03-23,              4,          1.333,              1,              0,              0,              0,
2020-03-24,              4,            1.0,              0,              0,              0,              0,
2020-03-25,              4,            1.0,              0,              0,              0,              0,
2020-03-26,              4,            1.0,              0,              0,              0,              0,
2020-03-27,              4,            1.0,              0,              0,              0,              0,
2020-03-28,              4,            1.0,              0,              0,              0,              0,
2020-03-29,             19,           4.75,             15,              0,              0,              0,
2020-03-30,             19,            1.0,              0,              0,              0,              0,
2020-03-31,             19,            1.0,              0,              0,              0,              0,
2020-04-01,             22,          1.158,              3,              2,              0,              2,
2020-04-02,             22,            1.0,              0,              2,            1.0,              0,
2020-04-03,             22,            1.0,              0,              2,            1.0,              0,
2020-04-04,             22,            1.0,              0,              2,            1.0,              0,
2020-04-05,             45,          2.045,             23,              5,            2.5,              3,
2020-04-06,             45,            1.0,              0,              5,            1.0,              0,
2020-04-07,             45,            1.0,              0,              5,            1.0,              0,
2020-04-08,             45,            1.0,              0,              5,            1.0,              0,
2020-04-09,             60,          1.333,             15,              5,            1.0,              0,
2020-04-10,             60,            1.0,              0,              5,            1.0,              0,
