"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              3,              0,              3,              0,              0,              0,
2020-03-12,              3,            1.0,              0,              0,              0,              0,
2020-03-13,              4,          1.333,              1,              0,              0,              0,
2020-03-14,              4,            1.0,              0,              0,              0,              0,
2020-03-15,              4,            1.0,              0,              0,              0,              0,
2020-03-16,              4,            1.0,              0,              0,              0,              0,
2020-03-17,              7,           1.75,              3,              0,              0,              0,
2020-03-18,             10,          1.429,              3,              1,              0,              1,
2020-03-19,             11,            1.1,              1,              1,            1.0,              0,
2020-03-20,             21,          1.909,             10,              1,            1.0,              0,
2020-03-21,             21,            1.0,              0,              1,            1.0,              0,
2020-03-22,             35,          1.667,             14,              1,            1.0,              0,
2020-03-23,             40,          1.143,              5,              1,            1.0,              0,
2020-03-24,             48,            1.2,              8,              1,            1.0,              0,
2020-03-25,             57,          1.188,              9,              1,            1.0,              0,
2020-03-26,             67,          1.175,             10,              2,            2.0,              1,
2020-03-27,             80,          1.194,             13,              2,            1.0,              0,
2020-03-28,            119,          1.488,             39,              3,            1.5,              1,
2020-03-29,            139,          1.168,             20,              3,            1.0,              0,
2020-03-30,            170,          1.223,             31,              4,          1.333,              1,
2020-03-31,            186,          1.094,             16,              6,            1.5,              2,
2020-04-01,            212,           1.14,             26,              6,            1.0,              0,
2020-04-02,            233,          1.099,             21,              6,            1.0,              0,
2020-04-03,            269,          1.155,             36,              6,            1.0,              0,
2020-04-04,            288,          1.071,             19,              6,            1.0,              0,
2020-04-05,            320,          1.111,             32,              8,          1.333,              2,
2020-04-06,            350,          1.094,             30,              9,          1.125,              1,
2020-04-07,            396,          1.131,             46,             11,          1.222,              2,
2020-04-08,            457,          1.154,             61,             12,          1.091,              1,
2020-04-09,            515,          1.127,             58,             15,           1.25,              3,
2020-04-10,            564,          1.095,             49,             15,            1.0,              0,
