"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,              3,               ,              3,               ,               ,               ,
2020-03-02,              4,          1.333,              1,               ,               ,               ,
2020-03-03,              5,           1.25,              1,               ,               ,               ,
2020-03-04,              8,            1.6,              3,               ,               ,               ,
2020-03-05,             12,            1.5,              4,               ,               ,               ,
2020-03-06,             19,          1.583,              7,               ,               ,               ,
2020-03-07,             26,          1.368,              7,               ,               ,               ,
2020-03-08,             32,          1.231,              6,               ,               ,               ,
2020-03-09,             38,          1.188,              6,               ,               ,               ,
2020-03-10,             63,          1.658,             25,               ,               ,               ,
2020-03-11,             94,          1.492,             31,               ,               ,               ,
2020-03-12,            116,          1.234,             22,               ,               ,               ,
2020-03-13,            141,          1.216,             25,               ,               ,               ,
2020-03-14,            189,           1.34,             48,               ,               ,               ,
2020-03-15,            293,           1.55,            104,               ,               ,               ,
2020-03-16,            344,          1.174,             51,               ,               ,               ,
2020-03-17,            434,          1.262,             90,               ,               ,               ,
2020-03-18,            522,          1.203,             88,               ,               ,               ,
2020-03-19,            694,           1.33,            172,               ,               ,               ,
2020-03-20,            833,            1.2,            139,               ,               ,               ,
2020-03-21,            995,          1.194,            162,               ,               ,               ,
2020-03-22,           1120,          1.126,            125,              1,               ,              1,
2020-03-23,           1236,          1.104,            116,              1,            1.0,              0,
2020-03-24,           1394,          1.128,            158,              3,            3.0,              2,
2020-03-25,           1654,          1.187,            260,              6,            2.0,              3,
2020-03-26,           1925,          1.164,            271,              9,            1.5,              3,
2020-03-27,           2279,          1.184,            354,              9,            1.0,              0,
2020-03-28,           2631,          1.154,            352,             11,          1.222,              2,
2020-03-29,           2817,          1.071,            186,             16,          1.455,              5,
2020-03-30,           3001,          1.065,            184,             23,          1.438,              7,
2020-03-31,           3308,          1.102,            307,             31,          1.348,              8,
2020-04-01,           3589,          1.085,            281,             39,          1.258,              8,
2020-04-02,           3858,          1.075,            269,             44,          1.128,              5,
2020-04-03,           4190,          1.086,            332,             53,          1.205,              9,
2020-04-04,           4472,          1.067,            282,             59,          1.113,              6,
