"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              1,              0,              1,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              2,            2.0,              1,              0,              0,              0,
2020-03-14,              2,            1.0,              0,              0,              0,              0,
2020-03-15,              2,            1.0,              0,              0,              0,              0,
2020-03-16,              3,            1.5,              1,              0,              0,              0,
2020-03-17,              3,            1.0,              0,              0,              0,              0,
2020-03-18,              7,          2.333,              4,              0,              0,              0,
2020-03-19,             14,            2.0,              7,              0,              0,              0,
2020-03-20,             18,          1.286,              4,              0,              0,              0,
2020-03-21,             23,          1.278,              5,              1,              0,              1,
2020-03-22,             30,          1.304,              7,              1,            1.0,              0,
2020-03-23,             36,            1.2,              6,              2,            2.0,              1,
2020-03-24,             45,           1.25,              9,              2,            1.0,              0,
2020-03-25,             48,          1.067,              3,              2,            1.0,              0,
2020-03-26,             51,          1.062,              3,              3,            1.5,              1,
2020-03-27,             51,            1.0,              0,              3,            1.0,              0,
2020-03-28,             65,          1.275,             14,              6,            2.0,              3,
2020-03-29,             81,          1.246,             16,              8,          1.333,              2,
2020-03-30,             81,            1.0,              0,              8,            1.0,              0,
2020-03-31,             98,           1.21,             17,              8,            1.0,              0,
2020-04-01,            109,          1.112,             11,              9,          1.125,              1,
2020-04-02,            134,          1.229,             25,             13,          1.444,              4,
2020-04-03,            148,          1.104,             14,             16,          1.231,              3,
2020-04-04,            154,          1.041,              6,             18,          1.125,              2,
2020-04-05,            154,            1.0,              0,             18,            1.0,              0,
2020-04-06,            161,          1.045,              7,             18,            1.0,              0,
2020-04-07,            180,          1.118,             19,             18,            1.0,              0,
2020-04-08,            180,            1.0,              0,             18,            1.0,              0,
2020-04-09,            180,            1.0,              0,             18,            1.0,              0,
2020-04-10,            223,          1.239,             43,             20,          1.111,              2,
