"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              1,              0,              1,              0,              0,              0,
2020-03-19,              1,            1.0,              0,              0,              0,              0,
2020-03-20,              1,            1.0,              0,              0,              0,              0,
2020-03-21,              1,            1.0,              0,              0,              0,              0,
2020-03-22,              1,            1.0,              0,              0,              0,              0,
2020-03-23,              3,            3.0,              2,              0,              0,              0,
2020-03-24,              3,            1.0,              0,              0,              0,              0,
2020-03-25,             11,          3.667,              8,              0,              0,              0,
2020-03-26,             11,            1.0,              0,              0,              0,              0,
2020-03-27,             12,          1.091,              1,              0,              0,              0,
2020-03-28,             14,          1.167,              2,              0,              0,              0,
2020-03-29,             18,          1.286,              4,              0,              0,              0,
2020-03-30,             18,            1.0,              0,              0,              0,              0,
2020-03-31,             30,          1.667,             12,              0,              0,              0,
2020-04-01,             33,            1.1,              3,              0,              0,              0,
2020-04-02,             40,          1.212,              7,              0,              0,              0,
2020-04-03,             49,          1.225,              9,              0,              0,              0,
2020-04-04,             50,           1.02,              1,              0,              0,              0,
2020-04-05,             59,           1.18,              9,              0,              0,              0,
2020-04-06,             90,          1.525,             31,              0,              0,              0,
2020-04-07,             90,            1.0,              0,              0,              0,              0,
2020-04-08,            135,            1.5,             45,              0,              0,              0,
2020-04-09,            140,          1.037,              5,              1,              0,              1,
2020-04-10,            150,          1.071,             10,              1,            1.0,              0,
