"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,              1,               ,              1,               ,               ,               ,
2020-03-01,              6,            6.0,              5,               ,               ,               ,
2020-03-02,              6,            1.0,              0,               ,               ,               ,
2020-03-03,              7,          1.167,              1,               ,               ,               ,
2020-03-04,             10,          1.429,              3,               ,               ,               ,
2020-03-05,             13,            1.3,              3,               ,               ,               ,
2020-03-06,             13,            1.0,              0,               ,               ,               ,
2020-03-07,             14,          1.077,              1,               ,               ,               ,
2020-03-08,             14,            1.0,              0,               ,               ,               ,
2020-03-09,             15,          1.071,              1,               ,               ,               ,
2020-03-10,             17,          1.133,              2,               ,               ,               ,
2020-03-11,             17,            1.0,              0,               ,               ,               ,
2020-03-12,             17,            1.0,              0,               ,               ,               ,
2020-03-13,             23,          1.353,              6,              1,               ,              1,
2020-03-14,             28,          1.217,              5,              2,            2.0,              1,
2020-03-15,             37,          1.321,              9,              2,            1.0,              0,
2020-03-16,             58,          1.568,             21,              2,            1.0,              0,
2020-03-17,            111,          1.914,             53,              2,            1.0,              0,
2020-03-18,            168,          1.514,             57,              3,            1.5,              1,
2020-03-19,            260,          1.548,             92,              3,            1.0,              0,
2020-03-20,            426,          1.638,            166,              7,          2.333,              4,
2020-03-21,            532,          1.249,            106,              7,            1.0,              0,
2020-03-22,            789,          1.483,            257,             14,            2.0,              7,
2020-03-23,            981,          1.243,            192,             18,          1.286,              4,
2020-03-24,           1082,          1.103,            101,             27,            1.5,              9,
2020-03-25,           1211,          1.119,            129,             29,          1.074,              2,
2020-03-26,           1403,          1.159,            192,             34,          1.172,              5,
2020-03-27,           1627,           1.16,            224,             41,          1.206,              7,
2020-03-28,           1823,           1.12,            196,             48,          1.171,              7,
2020-03-29,           1924,          1.055,            101,             58,          1.208,             10,
2020-03-30,           1966,          1.022,             42,             62,          1.069,              4,
2020-03-31,           2302,          1.171,            336,             79,          1.274,             17,
2020-04-01,           2758,          1.198,            456,             98,          1.241,             19,
2020-04-02,           3163,          1.147,            405,            120,          1.224,             22,
2020-04-03,           3368,          1.065,            205,            145,          1.208,             25,
2020-04-04,           3465,          1.029,             97,            172,          1.186,             27,
2020-04-05,           3646,          1.052,            181,            180,          1.047,              8,
