"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              1,            1.0,              0,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              2,            2.0,              1,               ,               ,               ,
2020-03-02,              2,            1.0,              0,               ,               ,               ,
2020-03-03,              2,            1.0,              0,               ,               ,               ,
2020-03-04,              2,            1.0,              0,               ,               ,               ,
2020-03-05,              3,            1.5,              1,               ,               ,               ,
2020-03-06,             15,            5.0,             12,               ,               ,               ,
2020-03-07,             48,            3.2,             33,               ,               ,               ,
2020-03-08,             55,          1.146,              7,              1,               ,              1,
2020-03-09,             59,          1.073,              4,              1,            1.0,              0,
2020-03-10,             59,            1.0,              0,              1,            1.0,              0,
2020-03-11,             67,          1.136,              8,              1,            1.0,              0,
2020-03-12,             80,          1.194,             13,              2,            2.0,              1,
2020-03-13,             93,          1.163,             13,              2,            1.0,              0,
2020-03-14,            110,          1.183,             17,              2,            1.0,              0,
2020-03-15,            126,          1.145,             16,              2,            1.0,              0,
2020-03-16,            166,          1.317,             40,              4,            2.0,              2,
2020-03-17,            196,          1.181,             30,              6,            1.5,              2,
2020-03-18,            210,          1.071,             14,              6,            1.0,              0,
2020-03-19,            256,          1.219,             46,              7,          1.167,              1,
2020-03-20,            285,          1.113,             29,              8,          1.143,              1,
2020-03-21,            294,          1.032,              9,             10,           1.25,              2,
2020-03-22,            327,          1.112,             33,             14,            1.4,              4,
2020-03-23,            366,          1.119,             39,             19,          1.357,              5,
2020-03-24,            402,          1.098,             36,             20,          1.053,              1,
2020-03-25,            456,          1.134,             54,             21,           1.05,              1,
2020-03-26,            495,          1.086,             39,             24,          1.143,              3,
2020-03-27,            536,          1.083,             41,             30,           1.25,              6,
2020-03-28,            576,          1.075,             40,             36,            1.2,              6,
2020-03-29,            609,          1.057,             33,             40,          1.111,              4,
2020-03-30,            656,          1.077,             47,             41,          1.025,              1,
2020-03-31,            710,          1.082,             54,             46,          1.122,              5,
2020-04-01,            779,          1.097,             69,             52,           1.13,              6,
2020-04-02,            865,           1.11,             86,             58,          1.115,              6,
2020-04-03,            985,          1.139,            120,             66,          1.138,              8,
2020-04-04,           1070,          1.086,             85,             71,          1.076,              5,
2020-04-05,           1173,          1.096,            103,             78,          1.099,              7,
