"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              1,              0,              1,              0,              0,              0,
2020-03-20,              1,            1.0,              0,              0,              0,              0,
2020-03-21,              3,            3.0,              2,              0,              0,              0,
2020-03-22,              3,            1.0,              0,              0,              0,              0,
2020-03-23,              3,            1.0,              0,              0,              0,              0,
2020-03-24,              5,          1.667,              2,              0,              0,              0,
2020-03-25,              9,            1.8,              4,              0,              0,              0,
2020-03-26,             13,          1.444,              4,              0,              0,              0,
2020-03-27,             13,            1.0,              0,              0,              0,              0,
2020-03-28,             19,          1.462,              6,              0,              0,              0,
2020-03-29,             24,          1.263,              5,              0,              0,              0,
2020-03-30,             30,           1.25,              6,              0,              0,              0,
2020-03-31,             32,          1.067,              2,              1,              0,              1,
2020-04-01,             33,          1.031,              1,              2,            2.0,              1,
2020-04-02,             41,          1.242,              8,              2,            1.0,              0,
2020-04-03,             46,          1.122,              5,              3,            1.5,              1,
2020-04-04,             56,          1.217,             10,              3,            1.0,              0,
2020-04-05,             62,          1.107,              6,              3,            1.0,              0,
2020-04-06,             69,          1.113,              7,              4,          1.333,              1,
2020-04-07,             78,           1.13,              9,              4,            1.0,              0,
2020-04-08,             93,          1.192,             15,              5,           1.25,              1,
2020-04-09,            103,          1.108,             10,              6,            1.2,              1,
2020-04-10,            117,          1.136,             14,              6,            1.0,              0,
