"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              1,              0,              1,              0,              0,              0,
2020-02-28,              1,            1.0,              0,              0,              0,              0,
2020-02-29,              1,            1.0,              0,              0,              0,              0,
2020-03-01,              1,            1.0,              0,              0,              0,              0,
2020-03-02,              1,            1.0,              0,              0,              0,              0,
2020-03-03,              2,            2.0,              1,              0,              0,              0,
2020-03-04,              2,            1.0,              0,              0,              0,              0,
2020-03-05,              5,            2.5,              3,              0,              0,              0,
2020-03-06,             10,            2.0,              5,              0,              0,              0,
2020-03-07,             10,            1.0,              0,              0,              0,              0,
2020-03-08,             10,            1.0,              0,              0,              0,              0,
2020-03-09,             10,            1.0,              0,              0,              0,              0,
2020-03-10,             13,            1.3,              3,              0,              0,              0,
2020-03-11,             16,          1.231,              3,              0,              0,              0,
2020-03-12,             27,          1.688,             11,              0,              0,              0,
2020-03-13,             79,          2.926,             52,              0,              0,              0,
2020-03-14,            115,          1.456,             36,              0,              0,              0,
2020-03-15,            171,          1.487,             56,              0,              0,              0,
2020-03-16,            205,          1.199,             34,              0,              0,              0,
2020-03-17,            225,          1.098,             20,              0,              0,              0,
2020-03-18,            258,          1.147,             33,              0,              0,              0,
2020-03-19,            267,          1.035,              9,              0,              0,              0,
2020-03-20,            283,           1.06,             16,              0,              0,              0,
2020-03-21,            306,          1.081,             23,              0,              0,              0,
2020-03-22,            326,          1.065,             20,              0,              0,              0,
2020-03-23,            352,           1.08,             26,              0,              0,              0,
2020-03-24,            369,          1.048,             17,              0,              0,              0,
2020-03-25,            404,          1.095,             35,              1,              0,              1,
2020-03-26,            538,          1.332,            134,              1,            1.0,              0,
2020-03-27,            575,          1.069,             37,              1,            1.0,              0,
2020-03-28,            645,          1.122,             70,              1,            1.0,              0,
2020-03-29,            679,          1.053,             34,              3,            3.0,              2,
2020-03-30,            715,          1.053,             36,              3,            1.0,              0,
2020-03-31,            745,          1.042,             30,              4,          1.333,              1,
2020-04-01,            779,          1.046,             34,              5,           1.25,              1,
2020-04-02,            858,          1.101,             79,             11,            2.2,              6,
2020-04-03,            961,           1.12,            103,             12,          1.091,              1,
2020-04-04,           1039,          1.081,             78,             13,          1.083,              1,
2020-04-05,           1097,          1.056,             58,             15,          1.154,              2,
2020-04-06,           1108,           1.01,             11,             19,          1.267,              4,
2020-04-07,           1149,          1.037,             41,             21,          1.105,              2,
2020-04-08,           1185,          1.031,             36,             24,          1.143,              3,
2020-04-09,           1207,          1.019,             22,             24,            1.0,              0,
2020-04-10,           1258,          1.042,             51,             24,            1.0,              0,
