"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              4,            4.0,              3,              0,              0,              0,
2020-03-16,              5,           1.25,              1,              0,              0,              0,
2020-03-17,              6,            1.2,              1,              0,              0,              0,
2020-03-18,              6,            1.0,              0,              0,              0,              0,
2020-03-19,              7,          1.167,              1,              0,              0,              0,
2020-03-20,              9,          1.286,              2,              0,              0,              0,
2020-03-21,              9,            1.0,              0,              0,              0,              0,
2020-03-22,             11,          1.222,              2,              0,              0,              0,
2020-03-23,             11,            1.0,              0,              0,              0,              0,
2020-03-24,             12,          1.091,              1,              0,              0,              0,
2020-03-25,             12,            1.0,              0,              0,              0,              0,
2020-03-26,             12,            1.0,              0,              0,              0,              0,
2020-03-27,             16,          1.333,              4,              0,              0,              0,
2020-03-28,             16,            1.0,              0,              0,              0,              0,
2020-03-29,             21,          1.312,              5,              0,              0,              0,
2020-03-30,             23,          1.095,              2,              0,              0,              0,
2020-03-31,             26,           1.13,              3,              0,              0,              0,
2020-04-01,             29,          1.115,              3,              0,              0,              0,
2020-04-02,             29,            1.0,              0,              0,              0,              0,
2020-04-03,             35,          1.207,              6,              0,              0,              0,
2020-04-04,             38,          1.086,              3,              0,              0,              0,
2020-04-05,             43,          1.132,              5,              2,              0,              2,
2020-04-06,             44,          1.023,              1,              2,            1.0,              0,
2020-04-07,             52,          1.182,              8,              2,            1.0,              0,
2020-04-08,             55,          1.058,              3,              2,            1.0,              0,
2020-04-09,             56,          1.018,              1,              2,            1.0,              0,
2020-04-10,             65,          1.161,              9,              3,            1.5,              1,
