"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              2,            2.0,              1,               ,               ,               ,
2020-02-27,              2,            1.0,              0,               ,               ,               ,
2020-02-28,              3,            1.5,              1,               ,               ,               ,
2020-02-29,              3,            1.0,              0,               ,               ,               ,
2020-03-01,              6,            2.0,              3,               ,               ,               ,
2020-03-02,              7,          1.167,              1,               ,               ,               ,
2020-03-03,              7,            1.0,              0,               ,               ,               ,
2020-03-04,              7,            1.0,              0,               ,               ,               ,
2020-03-05,             12,          1.714,              5,               ,               ,               ,
2020-03-06,             15,           1.25,              3,               ,               ,               ,
2020-03-07,             19,          1.267,              4,               ,               ,               ,
2020-03-08,             25,          1.316,              6,               ,               ,               ,
2020-03-09,             33,           1.32,              8,               ,               ,               ,
2020-03-10,             40,          1.212,              7,               ,               ,               ,
2020-03-11,             65,          1.625,             25,               ,               ,               ,
2020-03-12,            109,          1.677,             44,               ,               ,               ,
2020-03-13,            155,          1.422,             46,               ,               ,               ,
2020-03-14,            225,          1.452,             70,               ,               ,               ,
2020-03-15,            244,          1.084,             19,               ,               ,               ,
2020-03-16,            278,          1.139,             34,               ,               ,               ,
2020-03-17,            322,          1.158,             44,               ,               ,               ,
2020-03-18,            359,          1.115,             37,               ,               ,               ,
2020-03-19,            400,          1.114,             41,               ,               ,               ,
2020-03-20,            450,          1.125,             50,               ,               ,               ,
2020-03-21,            523,          1.162,             73,              1,               ,              1,
2020-03-22,            626,          1.197,            103,              1,            1.0,              0,
2020-03-23,            700,          1.118,             74,              1,            1.0,              0,
2020-03-24,            792,          1.131,             92,              1,            1.0,              0,
2020-03-25,            880,          1.111,             88,              3,            3.0,              2,
2020-03-26,            958,          1.089,             78,              5,          1.667,              2,
2020-03-27,           1041,          1.087,             83,              7,            1.4,              2,
2020-03-28,           1167,          1.121,            126,              9,          1.286,              2,
2020-03-29,           1240,          1.063,             73,             11,          1.222,              2,
2020-03-30,           1352,           1.09,            112,             13,          1.182,              2,
2020-03-31,           1418,          1.049,             66,             17,          1.308,              4,
2020-04-01,           1446,           1.02,             28,             17,            1.0,              0,
2020-04-02,           1518,           1.05,             72,             19,          1.118,              2,
2020-04-03,           1615,          1.064,             97,             20,          1.053,              1,
2020-04-04,           1882,          1.165,            267,             25,           1.25,              5,
