"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             12,               ,             12,              1,               ,              1,
2020-02-16,             12,            1.0,              0,              1,            1.0,              0,
2020-02-17,             12,            1.0,              0,              1,            1.0,              0,
2020-02-18,             12,            1.0,              0,              1,            1.0,              0,
2020-02-19,             12,            1.0,              0,              1,            1.0,              0,
2020-02-20,             12,            1.0,              0,              1,            1.0,              0,
2020-02-21,             12,            1.0,              0,              1,            1.0,              0,
2020-02-22,             12,            1.0,              0,              1,            1.0,              0,
2020-02-23,             12,            1.0,              0,              1,            1.0,              0,
2020-02-24,             12,            1.0,              0,              1,            1.0,              0,
2020-02-25,             14,          1.167,              2,              1,            1.0,              0,
2020-02-26,             18,          1.286,              4,              2,            2.0,              1,
2020-02-27,             38,          2.111,             20,              2,            1.0,              0,
2020-02-28,             57,            1.5,             19,              2,            1.0,              0,
2020-02-29,            100,          1.754,             43,              2,            1.0,              0,
2020-03-01,            130,            1.3,             30,              2,            1.0,              0,
2020-03-02,            191,          1.469,             61,              3,            1.5,              1,
2020-03-03,            212,           1.11,             21,              4,          1.333,              1,
2020-03-04,            285,          1.344,             73,              4,            1.0,              0,
2020-03-05,            423,          1.484,            138,              7,           1.75,              3,
2020-03-06,            653,          1.544,            230,              9,          1.286,              2,
2020-03-07,            949,          1.453,            296,             16,          1.778,              7,
2020-03-08,           1209,          1.274,            260,             19,          1.188,              3,
2020-03-09,           1412,          1.168,            203,             30,          1.579,             11,
2020-03-10,           1784,          1.263,            372,             33,            1.1,              3,
2020-03-11,           2281,          1.279,            497,             48,          1.455,             15,
2020-03-12,           2876,          1.261,            595,             61,          1.271,             13,
2020-03-13,           3661,          1.273,            785,             79,          1.295,             18,
2020-03-14,           4499,          1.229,            838,             91,          1.152,             12,
2020-03-15,           5423,          1.205,            924,            127,          1.396,             36,
2020-03-16,           6633,          1.223,           1210,            148,          1.165,             21,
2020-03-17,           7730,          1.165,           1097,            175,          1.182,             27,
2020-03-18,           9134,          1.182,           1404,            264,          1.509,             89,
2020-03-19,          10995,          1.204,           1861,            372,          1.409,            108,
2020-03-20,          12612,          1.147,           1617,            450,           1.21,             78,
2020-03-21,          14459,          1.146,           1847,            562,          1.249,            112,
2020-03-22,          16018,          1.108,           1559,            674,          1.199,            112,
2020-03-23,          19856,           1.24,           3838,            860,          1.276,            186,
2020-03-24,          22304,          1.123,           2448,           1100,          1.279,            240,
2020-03-25,          25233,          1.131,           2929,           1331,           1.21,            231,
2020-03-26,          29155,          1.155,           3922,           1696,          1.274,            365,
2020-03-27,          32964,          1.131,           3809,           1995,          1.176,            299,
2020-03-28,          37575,           1.14,           4611,           2314,           1.16,            319,
2020-03-29,          40174,          1.069,           2599,           2606,          1.126,            292,
2020-03-30,          44550,          1.109,           4376,           3024,           1.16,            418,
2020-03-31,          52128,           1.17,           7578,           3523,          1.165,            499,
2020-04-01,          56989,          1.093,           4861,           4032,          1.144,            509,
2020-04-02,          59105,          1.037,           2116,           5387,          1.336,           1355,
2020-04-03,          82165,           1.39,          23060,           6507,          1.208,           1120,
2020-04-04,          89953,          1.095,           7788,           7560,          1.162,           1053,
2020-04-05,          92839,          1.032,           2886,           8078,          1.069,            518,
