"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              5,              0,              5,              0,              0,              0,
2020-03-08,              5,            1.0,              0,              0,              0,              0,
2020-03-09,              5,            1.0,              0,              0,              0,              0,
2020-03-10,              5,            1.0,              0,              0,              0,              0,
2020-03-11,              6,            1.2,              1,              0,              0,              0,
2020-03-12,              6,            1.0,              0,              0,              0,              0,
2020-03-13,              6,            1.0,              0,              0,              0,              0,
2020-03-14,              7,          1.167,              1,              0,              0,              0,
2020-03-15,              7,            1.0,              0,              0,              0,              0,
2020-03-16,             11,          1.571,              4,              0,              0,              0,
2020-03-17,             15,          1.364,              4,              0,              0,              0,
2020-03-18,             15,            1.0,              0,              0,              0,              0,
2020-03-19,             15,            1.0,              0,              0,              0,              0,
2020-03-20,             15,            1.0,              0,              0,              0,              0,
2020-03-21,             18,            1.2,              3,              0,              0,              0,
2020-03-22,             18,            1.0,              0,              0,              0,              0,
2020-03-23,             20,          1.111,              2,              0,              0,              0,
2020-03-24,             23,           1.15,              3,              0,              0,              0,
2020-03-25,             28,          1.217,              5,              0,              0,              0,
2020-03-26,             28,            1.0,              0,              0,              0,              0,
2020-03-27,             28,            1.0,              0,              0,              0,              0,
2020-03-28,             28,            1.0,              0,              0,              0,              0,
2020-03-29,             43,          1.536,             15,              0,              0,              0,
2020-03-30,             43,            1.0,              0,              0,              0,              0,
2020-03-31,             51,          1.186,              8,              0,              0,              0,
2020-04-01,             51,            1.0,              0,              0,              0,              0,
2020-04-02,             51,            1.0,              0,              0,              0,              0,
2020-04-03,             57,          1.118,              6,              0,              0,              0,
2020-04-04,             61,           1.07,              4,              0,              0,              0,
2020-04-05,             68,          1.115,              7,              0,              0,              0,
2020-04-06,             72,          1.059,              4,              0,              0,              0,
2020-04-07,             77,          1.069,              5,              0,              0,              0,
2020-04-08,             83,          1.078,              6,              0,              0,              0,
2020-04-09,             83,            1.0,              0,              0,              0,              0,
2020-04-10,             83,            1.0,              0,              0,              0,              0,
