"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              1,              0,              1,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              3,            3.0,              2,              0,              0,              0,
2020-03-14,              3,            1.0,              0,              0,              0,              0,
2020-03-15,              3,            1.0,              0,              0,              0,              0,
2020-03-16,              3,            1.0,              0,              0,              0,              0,
2020-03-17,              3,            1.0,              0,              0,              0,              0,
2020-03-18,              5,          1.667,              2,              0,              0,              0,
2020-03-19,              6,            1.2,              1,              0,              0,              0,
2020-03-20,             11,          1.833,              5,              0,              0,              0,
2020-03-21,             15,          1.364,              4,              0,              0,              0,
2020-03-22,             18,            1.2,              3,              0,              0,              0,
2020-03-23,             18,            1.0,              0,              0,              0,              0,
2020-03-24,             25,          1.389,              7,              0,              0,              0,
2020-03-25,             25,            1.0,              0,              0,              0,              0,
2020-03-26,             30,            1.2,              5,              0,              0,              0,
2020-03-27,             30,            1.0,              0,              0,              0,              0,
2020-03-28,             30,            1.0,              0,              0,              0,              0,
2020-03-29,             30,            1.0,              0,              0,              0,              0,
2020-03-30,             36,            1.2,              6,              0,              0,              0,
2020-03-31,             37,          1.028,              1,              0,              0,              0,
2020-04-01,             37,            1.0,              0,              0,              0,              0,
2020-04-02,             37,            1.0,              0,              0,              0,              0,
2020-04-03,             39,          1.054,              2,              0,              0,              0,
2020-04-04,             40,          1.026,              1,              0,              0,              0,
2020-04-05,             41,          1.025,              1,              0,              0,              0,
2020-04-06,             42,          1.024,              1,              0,              0,              0,
2020-04-07,             47,          1.119,              5,              0,              0,              0,
2020-04-08,             51,          1.085,              4,              0,              0,              0,
2020-04-09,             51,            1.0,              0,              0,              0,              0,
2020-04-10,             51,            1.0,              0,              0,              0,              0,
