"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              1,              0,              1,              0,              0,              0,
2020-02-27,              1,            1.0,              0,              0,              0,              0,
2020-02-28,              2,            2.0,              1,              0,              0,              0,
2020-02-29,              3,            1.5,              1,              0,              0,              0,
2020-03-01,              3,            1.0,              0,              0,              0,              0,
2020-03-02,              3,            1.0,              0,              0,              0,              0,
2020-03-03,              3,            1.0,              0,              0,              0,              0,
2020-03-04,              3,            1.0,              0,              0,              0,              0,
2020-03-05,              9,            3.0,              6,              0,              0,              0,
2020-03-06,              9,            1.0,              0,              0,              0,              0,
2020-03-07,             13,          1.444,              4,              0,              0,              0,
2020-03-08,             13,            1.0,              0,              0,              0,              0,
2020-03-09,             15,          1.154,              2,              0,              0,              0,
2020-03-10,             23,          1.533,              8,              0,              0,              0,
2020-03-11,             24,          1.043,              1,              0,              0,              0,
2020-03-12,             25,          1.042,              1,              0,              0,              0,
2020-03-13,             25,            1.0,              0,              0,              0,              0,
2020-03-14,             30,            1.2,              5,              0,              0,              0,
2020-03-15,             33,            1.1,              3,              0,              0,              0,
2020-03-16,             33,            1.0,              0,              0,              0,              0,
2020-03-17,             34,           1.03,              1,              0,              0,              0,
2020-03-18,             38,          1.118,              4,              0,              0,              0,
2020-03-19,             40,          1.053,              2,              0,              0,              0,
2020-03-20,             44,            1.1,              4,              0,              0,              0,
2020-03-21,             49,          1.114,              5,              0,              0,              0,
2020-03-22,             54,          1.102,              5,              0,              0,              0,
2020-03-23,             61,           1.13,              7,              0,              0,              0,
2020-03-24,             70,          1.148,              9,              0,              0,              0,
2020-03-25,             75,          1.071,              5,              0,              0,              0,
2020-03-26,             79,          1.053,              4,              0,              0,              0,
2020-03-27,             83,          1.051,              4,              0,              0,              0,
2020-03-28,             90,          1.084,              7,              0,              0,              0,
2020-03-29,             91,          1.011,              1,              0,              0,              0,
2020-03-30,            103,          1.132,             12,              0,              0,              0,
2020-03-31,            110,          1.068,              7,              0,              0,              0,
2020-04-01,            117,          1.064,              7,              0,              0,              0,
2020-04-02,            134,          1.145,             17,              0,              0,              0,
2020-04-03,            155,          1.157,             21,              0,              0,              0,
2020-04-04,            162,          1.045,              7,              1,              0,              1,
2020-04-05,            174,          1.074,             12,              2,            2.0,              1,
2020-04-06,            188,           1.08,             14,              2,            1.0,              0,
2020-04-07,            196,          1.043,              8,              3,            1.5,              1,
2020-04-08,            211,          1.077,             15,              3,            1.0,              0,
2020-04-09,            218,          1.033,              7,              3,            1.0,              0,
2020-04-10,            234,          1.073,             16,              3,            1.0,              0,
