"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             16,               ,             16,               ,               ,               ,
2020-02-16,             16,            1.0,              0,               ,               ,               ,
2020-02-17,             16,            1.0,              0,               ,               ,               ,
2020-02-18,             16,            1.0,              0,               ,               ,               ,
2020-02-19,             16,            1.0,              0,               ,               ,               ,
2020-02-20,             16,            1.0,              0,               ,               ,               ,
2020-02-21,             16,            1.0,              0,               ,               ,               ,
2020-02-22,             16,            1.0,              0,               ,               ,               ,
2020-02-23,             16,            1.0,              0,               ,               ,               ,
2020-02-24,             16,            1.0,              0,               ,               ,               ,
2020-02-25,             18,          1.125,              2,               ,               ,               ,
2020-02-26,             26,          1.444,              8,               ,               ,               ,
2020-02-27,             48,          1.846,             22,               ,               ,               ,
2020-02-28,             74,          1.542,             26,               ,               ,               ,
2020-02-29,             79,          1.068,              5,               ,               ,               ,
2020-03-01,            130,          1.646,             51,               ,               ,               ,
2020-03-02,            165,          1.269,             35,               ,               ,               ,
2020-03-03,            203,           1.23,             38,               ,               ,               ,
2020-03-04,            262,          1.291,             59,               ,               ,               ,
2020-03-05,            545,           2.08,            283,               ,               ,               ,
2020-03-06,            670,          1.229,            125,               ,               ,               ,
2020-03-07,            800,          1.194,            130,               ,               ,               ,
2020-03-08,           1040,            1.3,            240,               ,               ,               ,
2020-03-09,           1224,          1.177,            184,              2,               ,              2,
2020-03-10,           1565,          1.279,            341,              2,            1.0,              0,
2020-03-11,           1966,          1.256,            401,              3,            1.5,              1,
2020-03-12,           2745,          1.396,            779,              6,            2.0,              3,
2020-03-13,           3675,          1.339,            930,              8,          1.333,              2,
2020-03-14,           4599,          1.251,            924,              9,          1.125,              1,
2020-03-15,           5813,          1.264,           1214,             13,          1.444,              4,
2020-03-16,           7272,          1.251,           1459,             17,          1.308,              4,
2020-03-17,           9367,          1.288,           2095,             26,          1.529,              9,
2020-03-18,          12327,          1.316,           2960,             28,          1.077,              2,
2020-03-19,          15320,          1.243,           2993,             44,          1.571,             16,
2020-03-20,          19848,          1.296,           4528,             68,          1.545,             24,
2020-03-21,          22364,          1.127,           2516,             84,          1.235,             16,
2020-03-22,          24873,          1.112,           2509,             94,          1.119,             10,
2020-03-23,          29056,          1.168,           4183,            123,          1.309,             29,
2020-03-24,          32991,          1.135,           3935,            159,          1.293,             36,
2020-03-25,          37323,          1.131,           4332,            206,          1.296,             47,
2020-03-26,          43938,          1.177,           6615,            267,          1.296,             61,
2020-03-27,          50871,          1.158,           6933,            351,          1.315,             84,
2020-03-28,          57695,          1.134,           6824,            433,          1.234,             82,
2020-03-29,          62435,          1.082,           4740,            541,          1.249,            108,
2020-03-30,          66885,          1.071,           4450,            645,          1.192,            104,
2020-03-31,          71808,          1.074,           4923,            775,          1.202,            130,
2020-04-01,          77981,          1.086,           6173,            931,          1.201,            156,
2020-04-02,          84794,          1.087,           6813,           1107,          1.189,            176,
2020-04-03,          91159,          1.075,           6365,           1275,          1.152,            168,
2020-04-04,          96092,          1.054,           4933,           1444,          1.133,            169,
