"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,               ,               ,               ,               ,               ,               ,
2020-03-12,              2,               ,              2,               ,               ,               ,
2020-03-13,              2,            1.0,              0,               ,               ,               ,
2020-03-14,              2,            1.0,              0,               ,               ,               ,
2020-03-15,              6,            3.0,              4,               ,               ,               ,
2020-03-16,              6,            1.0,              0,               ,               ,               ,
2020-03-17,              7,          1.167,              1,               ,               ,               ,
2020-03-18,              7,            1.0,              0,               ,               ,               ,
2020-03-19,             11,          1.571,              4,               ,               ,               ,
2020-03-20,             16,          1.455,              5,               ,               ,               ,
2020-03-21,             21,          1.312,              5,              1,               ,              1,
2020-03-22,             23,          1.095,              2,              1,            1.0,              0,
2020-03-23,             27,          1.174,              4,              2,            2.0,              1,
2020-03-24,             53,          1.963,             26,              2,            1.0,              0,
2020-03-25,             68,          1.283,             15,              4,            2.0,              2,
2020-03-26,            132,          1.941,             64,              4,            1.0,              0,
2020-03-27,            137,          1.038,              5,              4,            1.0,              0,
2020-03-28,            141,          1.029,              4,              5,           1.25,              1,
2020-03-29,            152,          1.078,             11,              5,            1.0,              0,
2020-03-30,            152,            1.0,              0,              5,            1.0,              0,
2020-03-31,            161,          1.059,              9,              5,            1.0,              0,
2020-04-01,            195,          1.211,             34,              5,            1.0,              0,
2020-04-02,            204,          1.046,              9,              5,            1.0,              0,
2020-04-03,            205,          1.005,              1,              5,            1.0,              0,
2020-04-04,            205,            1.0,              0,              5,            1.0,              0,
