"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,              1,               ,              1,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              1,            1.0,              0,               ,               ,               ,
2020-03-13,              1,            1.0,              0,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              1,            1.0,              0,               ,               ,               ,
2020-03-16,              3,            3.0,              2,               ,               ,               ,
2020-03-17,              3,            1.0,              0,               ,               ,               ,
2020-03-18,              8,          2.667,              5,               ,               ,               ,
2020-03-19,             10,           1.25,              2,               ,               ,               ,
2020-03-20,             10,            1.0,              0,               ,               ,               ,
2020-03-21,             10,            1.0,              0,               ,               ,               ,
2020-03-22,             15,            1.5,              5,               ,               ,               ,
2020-03-23,             15,            1.0,              0,               ,               ,               ,
2020-03-24,             15,            1.0,              0,               ,               ,               ,
2020-03-25,             26,          1.733,             11,               ,               ,               ,
2020-03-26,             35,          1.346,              9,               ,               ,               ,
2020-03-27,             55,          1.571,             20,               ,               ,               ,
2020-03-28,             56,          1.018,              1,               ,               ,               ,
2020-03-29,             65,          1.161,              9,               ,               ,               ,
2020-03-30,             69,          1.062,              4,               ,               ,               ,
2020-03-31,             69,            1.0,              0,               ,               ,               ,
2020-04-01,             81,          1.174,             12,               ,               ,               ,
2020-04-02,             88,          1.086,              7,               ,               ,               ,
2020-04-03,             95,           1.08,              7,               ,               ,               ,
2020-04-04,             98,          1.032,              3,               ,               ,               ,
2020-04-05,            103,          1.051,              5,               ,               ,               ,
