"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              1,              0,              1,              0,              0,              0,
2020-02-27,              3,            3.0,              2,              0,              0,              0,
2020-02-28,              4,          1.333,              1,              0,              0,              0,
2020-02-29,              7,           1.75,              3,              0,              0,              0,
2020-03-01,              7,            1.0,              0,              0,              0,              0,
2020-03-02,              7,            1.0,              0,              0,              0,              0,
2020-03-03,              7,            1.0,              0,              0,              0,              0,
2020-03-04,              9,          1.286,              2,              0,              0,              0,
2020-03-05,             31,          3.444,             22,              0,              0,              0,
2020-03-06,             45,          1.452,             14,              0,              0,              0,
2020-03-07,             66,          1.467,             21,              0,              0,              0,
2020-03-08,             73,          1.106,              7,              0,              0,              0,
2020-03-09,             84,          1.151,             11,              0,              0,              0,
2020-03-10,             89,           1.06,              5,              0,              0,              0,
2020-03-11,             99,          1.112,             10,              0,              0,              0,
2020-03-12,            117,          1.182,             18,              1,              0,              1,
2020-03-13,            190,          1.624,             73,              1,            1.0,              0,
2020-03-14,            228,            1.2,             38,              3,            3.0,              2,
2020-03-15,            331,          1.452,            103,              4,          1.333,              1,
2020-03-16,            352,          1.063,             21,              4,            1.0,              0,
2020-03-17,            387,          1.099,             35,              5,           1.25,              1,
2020-03-18,            418,           1.08,             31,              5,            1.0,              0,
2020-03-19,            464,           1.11,             46,              6,            1.2,              1,
2020-03-20,            495,          1.067,             31,             10,          1.667,              4,
2020-03-21,            530,          1.071,             35,             13,            1.3,              3,
2020-03-22,            624,          1.177,             94,             15,          1.154,              2,
2020-03-23,            695,          1.114,             71,             17,          1.133,              2,
2020-03-24,            743,          1.069,             48,             20,          1.176,              3,
2020-03-25,            821,          1.105,             78,             22,            1.1,              2,
2020-03-26,            892,          1.086,             71,             27,          1.227,              5,
2020-03-27,            966,          1.083,             74,             28,          1.037,              1,
2020-03-28,           1061,          1.098,             95,             32,          1.143,              4,
2020-03-29,           1156,           1.09,             95,             39,          1.219,              7,
2020-03-30,           1212,          1.048,             56,             46,          1.179,              7,
2020-03-31,           1314,          1.084,            102,             49,          1.065,              3,
2020-04-01,           1415,          1.077,            101,             51,          1.041,              2,
2020-04-02,           1544,          1.091,            129,             53,          1.039,              2,
2020-04-03,           1613,          1.045,             69,             63,          1.189,             10,
2020-04-04,           1673,          1.037,             60,             68,          1.079,              5,
2020-04-05,           1735,          1.037,             62,             73,          1.074,              5,
2020-04-06,           1755,          1.012,             20,             79,          1.082,              6,
2020-04-07,           1832,          1.044,             77,             81,          1.025,              2,
2020-04-08,           1884,          1.028,             52,             83,          1.025,              2,
2020-04-09,           1955,          1.038,             71,             87,          1.048,              4,
2020-04-10,           2011,          1.029,             56,             92,          1.057,              5,
