"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              1,              0,              1,              0,              0,              0,
2020-03-17,              1,            1.0,              0,              0,              0,              0,
2020-03-18,              2,            2.0,              1,              0,              0,              0,
2020-03-19,              2,            1.0,              0,              0,              0,              0,
2020-03-20,              2,            1.0,              0,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              4,            2.0,              2,              0,              0,              0,
2020-03-23,              4,            1.0,              0,              0,              0,              0,
2020-03-24,              5,           1.25,              1,              0,              0,              0,
2020-03-25,              6,            1.2,              1,              0,              0,              0,
2020-03-26,              6,            1.0,              0,              0,              0,              0,
2020-03-27,             10,          1.667,              4,              0,              0,              0,
2020-03-28,             10,            1.0,              0,              0,              0,              0,
2020-03-29,             10,            1.0,              0,              0,              0,              0,
2020-03-30,             10,            1.0,              0,              0,              0,              0,
2020-03-31,             10,            1.0,              0,              0,              0,              0,
2020-04-01,             10,            1.0,              0,              0,              0,              0,
2020-04-02,             10,            1.0,              0,              0,              0,              0,
2020-04-03,             10,            1.0,              0,              0,              0,              0,
2020-04-04,             11,            1.1,              1,              0,              0,              0,
2020-04-05,             11,            1.0,              0,              0,              0,              0,
2020-04-06,             11,            1.0,              0,              0,              0,              0,
2020-04-07,             11,            1.0,              0,              0,              0,              0,
2020-04-08,             11,            1.0,              0,              0,              0,              0,
2020-04-09,             11,            1.0,              0,              0,              0,              0,
2020-04-10,             11,            1.0,              0,              0,              0,              0,
