"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              3,            3.0,              2,              0,              0,              0,
2020-03-15,              5,          1.667,              2,              0,              0,              0,
2020-03-16,              6,            1.2,              1,              0,              0,              0,
2020-03-17,             18,            3.0,             12,              0,              0,              0,
2020-03-18,             33,          1.833,             15,              0,              0,              0,
2020-03-19,             33,            1.0,              0,              0,              0,              0,
2020-03-20,             51,          1.545,             18,              1,              0,              1,
2020-03-21,             56,          1.098,              5,              1,            1.0,              0,
2020-03-22,             58,          1.036,              2,              1,            1.0,              0,
2020-03-23,             62,          1.069,              4,              1,            1.0,              0,
2020-03-24,             73,          1.177,             11,              1,            1.0,              0,
2020-03-25,             73,            1.0,              0,              1,            1.0,              0,
2020-03-26,             73,            1.0,              0,              1,            1.0,              0,
2020-03-27,             73,            1.0,              0,              1,            1.0,              0,
2020-03-28,            102,          1.397,             29,              2,            2.0,              1,
2020-03-29,            106,          1.039,              4,              4,            2.0,              2,
2020-03-30,            106,            1.0,              0,              4,            1.0,              0,
2020-03-31,            114,          1.075,              8,              4,            1.0,              0,
2020-04-01,            125,          1.096,             11,              6,            1.5,              2,
2020-04-02,            128,          1.024,              3,              6,            1.0,              0,
2020-04-03,            130,          1.016,              2,              7,          1.167,              1,
2020-04-04,            134,          1.031,              4,              7,            1.0,              0,
2020-04-05,            135,          1.007,              1,              7,            1.0,              0,
2020-04-06,            139,           1.03,              4,              7,            1.0,              0,
2020-04-07,            139,            1.0,              0,              7,            1.0,              0,
2020-04-08,            141,          1.014,              2,              8,          1.143,              1,
2020-04-09,            143,          1.014,              2,              8,            1.0,              0,
2020-04-10,            143,            1.0,              0,              8,            1.0,              0,
