"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,               ,               ,               ,               ,               ,               ,
2020-03-12,               ,               ,               ,               ,               ,               ,
2020-03-13,              1,               ,              1,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              1,            1.0,              0,              1,               ,              1,
2020-03-16,              8,            8.0,              7,              1,            1.0,              0,
2020-03-17,              8,            1.0,              0,              1,            1.0,              0,
2020-03-18,              8,            1.0,              0,              1,            1.0,              0,
2020-03-19,              9,          1.125,              1,              1,            1.0,              0,
2020-03-20,             12,          1.333,              3,              1,            1.0,              0,
2020-03-21,             17,          1.417,              5,              1,            1.0,              0,
2020-03-22,             19,          1.118,              2,              1,            1.0,              0,
2020-03-23,             20,          1.053,              1,              1,            1.0,              0,
2020-03-24,             21,           1.05,              1,              1,            1.0,              0,
2020-03-25,             24,          1.143,              3,              1,            1.0,              0,
2020-03-26,             25,          1.042,              1,              1,            1.0,              0,
2020-03-27,             28,           1.12,              3,              1,            1.0,              0,
2020-03-28,             34,          1.214,              6,              1,            1.0,              0,
2020-03-29,             34,            1.0,              0,              1,            1.0,              0,
2020-03-30,             36,          1.059,              2,              1,            1.0,              0,
2020-03-31,             38,          1.056,              2,              1,            1.0,              0,
2020-04-01,             39,          1.026,              1,              1,            1.0,              0,
2020-04-02,             47,          1.205,              8,              1,            1.0,              0,
2020-04-03,             50,          1.064,              3,              1,            1.0,              0,
2020-04-04,             61,           1.22,             11,              2,            2.0,              1,
2020-04-05,             70,          1.148,              9,              3,            1.5,              1,
2020-04-06,             70,            1.0,              0,              3,            1.0,              0,
