"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              1,            1.0,              0,              0,              0,              0,
2020-03-16,              1,            1.0,              0,              0,              0,              0,
2020-03-17,              1,            1.0,              0,              0,              0,              0,
2020-03-18,              1,            1.0,              0,              0,              0,              0,
2020-03-19,              1,            1.0,              0,              0,              0,              0,
2020-03-20,              2,            2.0,              1,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              2,            1.0,              0,              0,              0,              0,
2020-03-23,              4,            2.0,              2,              0,              0,              0,
2020-03-24,              4,            1.0,              0,              0,              0,              0,
2020-03-25,              4,            1.0,              0,              0,              0,              0,
2020-03-26,              4,            1.0,              0,              0,              0,              0,
2020-03-27,              8,            2.0,              4,              0,              0,              0,
2020-03-28,              8,            1.0,              0,              0,              0,              0,
2020-03-29,             16,            2.0,              8,              0,              0,              0,
2020-03-30,             22,          1.375,              6,              0,              0,              0,
2020-03-31,             22,            1.0,              0,              0,              0,              0,
2020-04-01,             30,          1.364,              8,              0,              0,              0,
2020-04-02,             52,          1.733,             22,              0,              0,              0,
2020-04-03,             73,          1.404,             21,              0,              0,              0,
2020-04-04,            111,          1.521,             38,              0,              0,              0,
2020-04-05,            121,           1.09,             10,              0,              0,              0,
2020-04-06,            128,          1.058,              7,              0,              0,              0,
2020-04-07,            144,          1.125,             16,              0,              0,              0,
2020-04-08,            164,          1.139,             20,              0,              0,              0,
2020-04-09,            194,          1.183,             30,              0,              0,              0,
2020-04-10,            212,          1.093,             18,              0,              0,              0,
