"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,              2,               ,              2,               ,               ,               ,
2020-03-12,              2,            1.0,              0,               ,               ,               ,
2020-03-13,              2,            1.0,              0,               ,               ,               ,
2020-03-14,              3,            1.5,              1,               ,               ,               ,
2020-03-15,              3,            1.0,              0,               ,               ,               ,
2020-03-16,              6,            2.0,              3,               ,               ,               ,
2020-03-17,              8,          1.333,              2,               ,               ,               ,
2020-03-18,              9,          1.125,              1,               ,               ,               ,
2020-03-19,             12,          1.333,              3,               ,               ,               ,
2020-03-20,             24,            2.0,             12,               ,               ,               ,
2020-03-21,             24,            1.0,              0,               ,               ,               ,
2020-03-22,             26,          1.083,              2,               ,               ,               ,
2020-03-23,             30,          1.154,              4,               ,               ,               ,
2020-03-24,             30,            1.0,              0,               ,               ,               ,
2020-03-25,             52,          1.733,             22,               ,               ,               ,
2020-03-26,             67,          1.288,             15,              1,               ,              1,
2020-03-27,             68,          1.015,              1,              1,            1.0,              0,
2020-03-28,             95,          1.397,             27,              1,            1.0,              0,
2020-03-29,            110,          1.158,             15,              3,            3.0,              2,
2020-03-30,            139,          1.264,             29,              7,          2.333,              4,
2020-03-31,            141,          1.014,              2,              7,            1.0,              0,
2020-04-01,            172,           1.22,             31,             10,          1.429,              3,
2020-04-02,            219,          1.273,             47,             14,            1.4,              4,
2020-04-03,            222,          1.014,              3,             15,          1.071,              1,
