"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,              2,               ,              2,               ,               ,               ,
2020-03-05,              4,            2.0,              2,               ,               ,               ,
2020-03-06,              4,            1.0,              0,               ,               ,               ,
2020-03-07,              5,           1.25,              1,               ,               ,               ,
2020-03-08,              7,            1.4,              2,               ,               ,               ,
2020-03-09,              9,          1.286,              2,               ,               ,               ,
2020-03-10,             12,          1.333,              3,               ,               ,               ,
2020-03-11,             13,          1.083,              1,               ,               ,               ,
2020-03-12,             16,          1.231,              3,               ,               ,               ,
2020-03-13,             19,          1.188,              3,               ,               ,               ,
2020-03-14,             30,          1.579,             11,               ,               ,               ,
2020-03-15,             32,          1.067,              2,              1,               ,              1,
2020-03-16,             39,          1.219,              7,              1,            1.0,              0,
2020-03-17,             50,          1.282,             11,              1,            1.0,              0,
2020-03-18,             58,           1.16,              8,              1,            1.0,              0,
2020-03-19,             73,          1.259,             15,              1,            1.0,              0,
2020-03-20,             85,          1.164,             12,              4,            4.0,              3,
2020-03-21,            103,          1.212,             18,              4,            1.0,              0,
2020-03-22,            131,          1.272,             28,              6,            1.5,              2,
2020-03-23,            167,          1.275,             36,              8,          1.333,              2,
2020-03-24,            187,           1.12,             20,              9,          1.125,              1,
2020-03-25,            226,          1.209,             39,             10,          1.111,              1,
2020-03-26,            261,          1.155,             35,             10,            1.0,              0,
2020-03-27,            300,          1.149,             39,             10,            1.0,              0,
2020-03-28,            343,          1.143,             43,             11,            1.1,              1,
2020-03-29,            408,           1.19,             65,             13,          1.182,              2,
2020-03-30,            447,          1.096,             39,             15,          1.154,              2,
2020-03-31,            492,          1.101,             45,             16,          1.067,              1,
2020-04-01,            525,          1.067,             33,             20,           1.25,              4,
2020-04-02,            585,          1.114,             60,             21,           1.05,              1,
2020-04-03,            623,          1.065,             38,             26,          1.238,              5,
2020-04-04,            678,          1.088,             55,             32,          1.231,              6,
