"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              3,            3.0,              2,               ,               ,               ,
2020-03-02,              9,            3.0,              6,               ,               ,               ,
2020-03-03,             14,          1.556,              5,               ,               ,               ,
2020-03-04,             26,          1.857,             12,               ,               ,               ,
2020-03-05,             37,          1.423,             11,               ,               ,               ,
2020-03-06,             45,          1.216,              8,               ,               ,               ,
2020-03-07,             50,          1.111,              5,               ,               ,               ,
2020-03-08,             58,           1.16,              8,               ,               ,               ,
2020-03-09,             65,          1.121,              7,               ,               ,               ,
2020-03-10,             81,          1.246,             16,               ,               ,               ,
2020-03-11,             85,          1.049,              4,               ,               ,               ,
2020-03-12,            117,          1.376,             32,               ,               ,               ,
2020-03-13,            134,          1.145,             17,               ,               ,               ,
2020-03-14,            161,          1.201,             27,               ,               ,               ,
2020-03-15,            180,          1.118,             19,               ,               ,               ,
2020-03-16,            199,          1.106,             19,               ,               ,               ,
2020-03-17,            247,          1.241,             48,               ,               ,               ,
2020-03-18,            250,          1.012,              3,               ,               ,               ,
2020-03-19,            330,           1.32,             80,               ,               ,               ,
2020-03-20,            409,          1.239,             79,               ,               ,               ,
2020-03-21,            473,          1.156,             64,              1,               ,              1,
2020-03-22,            568,          1.201,             95,              1,            1.0,              0,
2020-03-23,            588,          1.035,             20,              1,            1.0,              0,
2020-03-24,            648,          1.102,             60,              2,            2.0,              1,
2020-03-25,            737,          1.137,             89,              2,            1.0,              0,
2020-03-26,            802,          1.088,             65,              2,            1.0,              0,
2020-03-27,            890,           1.11,             88,              2,            1.0,              0,
2020-03-28,            963,          1.082,             73,              2,            1.0,              0,
2020-03-29,           1020,          1.059,             57,              2,            1.0,              0,
2020-03-30,           1086,          1.065,             66,              2,            1.0,              0,
2020-03-31,           1135,          1.045,             49,              2,            1.0,              0,
2020-04-01,           1220,          1.075,             85,              2,            1.0,              0,
2020-04-02,           1319,          1.081,             99,              4,            2.0,              2,
2020-04-03,           1364,          1.034,             45,              4,            1.0,              0,
2020-04-04,           1417,          1.039,             53,              4,            1.0,              0,
2020-04-05,           1486,          1.049,             69,              4,            1.0,              0,
