"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              3,               ,              3,               ,               ,               ,
2020-02-16,              3,            1.0,              0,               ,               ,               ,
2020-02-17,              3,            1.0,              0,               ,               ,               ,
2020-02-18,              3,            1.0,              0,               ,               ,               ,
2020-02-19,              3,            1.0,              0,               ,               ,               ,
2020-02-20,              3,            1.0,              0,               ,               ,               ,
2020-02-21,              3,            1.0,              0,               ,               ,               ,
2020-02-22,              3,            1.0,              0,               ,               ,               ,
2020-02-23,              3,            1.0,              0,               ,               ,               ,
2020-02-24,              3,            1.0,              0,               ,               ,               ,
2020-02-25,              3,            1.0,              0,               ,               ,               ,
2020-02-26,              3,            1.0,              0,               ,               ,               ,
2020-02-27,              3,            1.0,              0,               ,               ,               ,
2020-02-28,              3,            1.0,              0,               ,               ,               ,
2020-02-29,              3,            1.0,              0,               ,               ,               ,
2020-03-01,              3,            1.0,              0,               ,               ,               ,
2020-03-02,              6,            2.0,              3,               ,               ,               ,
2020-03-03,              7,          1.167,              1,               ,               ,               ,
2020-03-04,             29,          4.143,             22,               ,               ,               ,
2020-03-05,             30,          1.034,              1,               ,               ,               ,
2020-03-06,             31,          1.033,              1,               ,               ,               ,
2020-03-07,             34,          1.097,              3,               ,               ,               ,
2020-03-08,             40,          1.176,              6,               ,               ,               ,
2020-03-09,             47,          1.175,              7,               ,               ,               ,
2020-03-10,             62,          1.319,             15,               ,               ,               ,
2020-03-11,             62,            1.0,              0,               ,               ,               ,
2020-03-12,             74,          1.194,             12,              1,               ,              1,
2020-03-13,             82,          1.108,              8,              2,            2.0,              1,
2020-03-14,            100,           1.22,             18,              2,            1.0,              0,
2020-03-15,            114,           1.14,             14,              2,            1.0,              0,
2020-03-16,            129,          1.132,             15,              2,            1.0,              0,
2020-03-17,            143,          1.109,             14,              3,            1.5,              1,
2020-03-18,            169,          1.182,             26,              3,            1.0,              0,
2020-03-19,            194,          1.148,             25,              4,          1.333,              1,
2020-03-20,            249,          1.284,             55,              5,           1.25,              1,
2020-03-21,            332,          1.333,             83,              5,            1.0,              0,
2020-03-22,            396,          1.193,             64,              7,            1.4,              2,
2020-03-23,            499,           1.26,            103,             10,          1.429,              3,
2020-03-24,            536,          1.074,             37,             10,            1.0,              0,
2020-03-25,            657,          1.226,            121,             12,            1.2,              2,
2020-03-26,            727,          1.107,             70,             20,          1.667,              8,
2020-03-27,            887,           1.22,            160,             20,            1.0,              0,
2020-03-28,            987,          1.113,            100,             24,            1.2,              4,
2020-03-29,           1024,          1.037,             37,             27,          1.125,              3,
2020-03-30,           1251,          1.222,            227,             32,          1.185,              5,
2020-03-31,           1397,          1.117,            146,             35,          1.094,              3,
2020-04-01,           1998,           1.43,            601,             58,          1.657,             23,
2020-04-02,           2543,          1.273,            545,             72,          1.241,             14,
2020-04-03,           3059,          1.203,            516,             86,          1.194,             14,
2020-04-04,           3588,          1.173,            529,             99,          1.151,             13,
2020-04-05,           4289,          1.195,            701,            118,          1.192,             19,
