"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,              2,               ,              2,               ,               ,               ,
2020-03-03,              2,            1.0,              0,               ,               ,               ,
2020-03-04,              2,            1.0,              0,               ,               ,               ,
2020-03-05,              2,            1.0,              0,               ,               ,               ,
2020-03-06,              4,            2.0,              2,               ,               ,               ,
2020-03-07,              4,            1.0,              0,               ,               ,               ,
2020-03-08,              6,            1.5,              2,               ,               ,               ,
2020-03-09,             19,          3.167,             13,               ,               ,               ,
2020-03-10,             27,          1.421,              8,               ,               ,               ,
2020-03-11,             34,          1.259,              7,              1,               ,              1,
2020-03-12,             34,            1.0,              0,              1,            1.0,              0,
2020-03-13,             69,          2.029,             35,              4,            4.0,              3,
2020-03-14,             96,          1.391,             27,              5,           1.25,              1,
2020-03-15,            117,          1.219,             21,              5,            1.0,              0,
2020-03-16,            134,          1.145,             17,              5,            1.0,              0,
2020-03-17,            172,          1.284,             38,              7,            1.4,              2,
2020-03-18,            227,           1.32,             55,             19,          2.714,             12,
2020-03-19,            309,          1.361,             82,             25,          1.316,              6,
2020-03-20,            369,          1.194,             60,             32,           1.28,              7,
2020-03-21,            450,           1.22,             81,             38,          1.188,              6,
2020-03-22,            514,          1.142,             64,             48,          1.263,             10,
2020-03-23,            579,          1.126,             65,             49,          1.021,              1,
2020-03-24,            686,          1.185,            107,             55,          1.122,              6,
2020-03-25,            790,          1.152,            104,             58,          1.055,              3,
2020-03-26,            893,           1.13,            103,             78,          1.345,             20,
2020-03-27,           1046,          1.171,            153,             87,          1.115,              9,
2020-03-28,           1155,          1.104,            109,            102,          1.172,             15,
2020-03-29,           1285,          1.113,            130,            114,          1.118,             12,
2020-03-30,           1414,            1.1,            129,            122,           1.07,              8,
2020-03-31,           1528,          1.081,            114,            136,          1.115,             14,
2020-04-01,           1677,          1.098,            149,            157,          1.154,             21,
2020-04-02,           1790,          1.067,            113,            170,          1.083,             13,
2020-04-03,           1986,          1.109,            196,            181,          1.065,             11,
2020-04-04,           2092,          1.053,            106,            191,          1.055,             10,
2020-04-05,           2273,          1.087,            181,            198,          1.037,              7,
2020-04-06,           2491,          1.096,            218,            209,          1.056,             11,
