"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,              2,               ,              2,              2,               ,              2,
2020-02-20,              5,            2.5,              3,              2,            1.0,              0,
2020-02-21,             18,            3.6,             13,              4,            2.0,              2,
2020-02-22,             29,          1.611,             11,              6,            1.5,              2,
2020-02-23,             43,          1.483,             14,              8,          1.333,              2,
2020-02-24,             61,          1.419,             18,             12,            1.5,              4,
2020-02-25,             95,          1.557,             34,             16,          1.333,              4,
2020-02-26,            139,          1.463,             44,             19,          1.188,              3,
2020-02-27,            245,          1.763,            106,             26,          1.368,              7,
2020-02-28,            388,          1.584,            143,             34,          1.308,              8,
2020-02-29,            593,          1.528,            205,             43,          1.265,              9,
2020-03-01,            978,          1.649,            385,             54,          1.256,             11,
2020-03-02,           1501,          1.535,            523,             66,          1.222,             12,
2020-03-03,           2336,          1.556,            835,             77,          1.167,             11,
2020-03-04,           2922,          1.251,            586,             92,          1.195,             15,
2020-03-05,           3513,          1.202,            591,            108,          1.174,             16,
2020-03-06,           4747,          1.351,           1234,            124,          1.148,             16,
2020-03-07,           5823,          1.227,           1076,            145,          1.169,             21,
2020-03-08,           6566,          1.128,            743,            194,          1.338,             49,
2020-03-09,           7161,          1.091,            595,            237,          1.222,             43,
2020-03-10,           8042,          1.123,            881,            291,          1.228,             54,
2020-03-11,           9000,          1.119,            958,            354,          1.216,             63,
2020-03-12,          10075,          1.119,           1075,            429,          1.212,             75,
2020-03-13,          11364,          1.128,           1289,            514,          1.198,             85,
2020-03-14,          12729,           1.12,           1365,            611,          1.189,             97,
2020-03-15,          13938,          1.095,           1209,            724,          1.185,            113,
2020-03-16,          14991,          1.076,           1053,            853,          1.178,            129,
2020-03-17,          16169,          1.079,           1178,            988,          1.158,            135,
2020-03-18,          17361,          1.074,           1192,           1135,          1.149,            147,
2020-03-19,          18407,           1.06,           1046,           1284,          1.131,            149,
2020-03-20,          19644,          1.067,           1237,           1433,          1.116,            149,
2020-03-21,          20610,          1.049,            966,           1556,          1.086,            123,
2020-03-22,          21638,           1.05,           1028,           1685,          1.083,            129,
2020-03-23,          23049,          1.065,           1411,           1812,          1.075,            127,
2020-03-24,          24811,          1.076,           1762,           1934,          1.067,            122,
2020-03-25,          27017,          1.089,           2206,           2077,          1.074,            143,
2020-03-26,          29406,          1.088,           2389,           2234,          1.076,            157,
2020-03-27,          32332,            1.1,           2926,           2378,          1.064,            144,
2020-03-28,          35408,          1.095,           3076,           2517,          1.058,            139,
2020-03-29,          38309,          1.082,           2901,           2640,          1.049,            123,
2020-03-30,          41495,          1.083,           3186,           2757,          1.044,            117,
2020-03-31,          44605,          1.075,           3110,           2898,          1.051,            141,
2020-04-01,          47593,          1.067,           2988,           3036,          1.048,            138,
2020-04-02,          50468,           1.06,           2875,           3160,          1.041,            124,
2020-04-03,          53183,          1.054,           2715,           3294,          1.042,            134,
2020-04-04,          55743,          1.048,           2560,           3452,          1.048,            158,
2020-04-05,          58226,          1.045,           2483,           3603,          1.044,            151,
