"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,              1,               ,              1,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              5,            5.0,              4,               ,               ,               ,
2020-02-26,              5,            1.0,              0,               ,               ,               ,
2020-02-27,              7,            1.4,              2,               ,               ,               ,
2020-02-28,              8,          1.143,              1,               ,               ,               ,
2020-02-29,             13,          1.625,              5,               ,               ,               ,
2020-03-01,             19,          1.462,              6,               ,               ,               ,
2020-03-02,             27,          1.421,              8,               ,               ,               ,
2020-03-03,             32,          1.185,              5,               ,               ,               ,
2020-03-04,             37,          1.156,              5,              2,               ,              2,
2020-03-05,             40,          1.081,              3,              3,            1.5,              1,
2020-03-06,             46,           1.15,              6,              4,          1.333,              1,
2020-03-07,             54,          1.174,              8,              4,            1.0,              0,
2020-03-08,             65,          1.204,             11,              6,            1.5,              2,
2020-03-09,             71,          1.092,              6,              7,          1.167,              1,
2020-03-10,             71,            1.0,              0,              7,            1.0,              0,
2020-03-11,             71,            1.0,              0,              7,            1.0,              0,
2020-03-12,             83,          1.169,             12,              8,          1.143,              1,
2020-03-13,            101,          1.217,             18,              9,          1.125,              1,
2020-03-14,            110,          1.089,              9,             10,          1.111,              1,
2020-03-15,            124,          1.127,             14,             10,            1.0,              0,
2020-03-16,            133,          1.073,              9,             10,            1.0,              0,
2020-03-17,            154,          1.158,             21,             11,            1.1,              1,
2020-03-18,            164,          1.065,             10,             12,          1.091,              1,
2020-03-19,            192,          1.171,             28,             13,          1.083,              1,
2020-03-20,            208,          1.083,             16,             17,          1.308,              4,
2020-03-21,            214,          1.029,              6,             17,            1.0,              0,
2020-03-22,            233,          1.089,             19,             20,          1.176,              3,
2020-03-23,            266,          1.142,             33,             23,           1.15,              3,
2020-03-24,            316,          1.188,             50,             27,          1.174,              4,
2020-03-25,            346,          1.095,             30,             29,          1.074,              2,
2020-03-26,            382,          1.104,             36,             36,          1.241,              7,
2020-03-27,            458,          1.199,             76,             40,          1.111,              4,
2020-03-28,            506,          1.105,             48,             42,           1.05,              2,
2020-03-29,            547,          1.081,             41,             42,            1.0,              0,
2020-03-30,            630,          1.152,             83,             46,          1.095,              4,
2020-03-31,            694,          1.102,             64,             50,          1.087,              4,
2020-04-01,            728,          1.049,             34,             52,           1.04,              2,
2020-04-02,            772,           1.06,             44,             54,          1.038,              2,
2020-04-03,            820,          1.062,             48,             54,            1.0,              0,
