"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,              1,               ,              1,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              2,            2.0,              1,               ,               ,               ,
2020-03-04,              6,            3.0,              4,               ,               ,               ,
2020-03-05,             13,          2.167,              7,               ,               ,               ,
2020-03-06,             18,          1.385,              5,               ,               ,               ,
2020-03-07,             19,          1.056,              1,               ,               ,               ,
2020-03-08,             21,          1.105,              2,               ,               ,               ,
2020-03-09,             24,          1.143,              3,               ,               ,               ,
2020-03-10,             34,          1.417,             10,               ,               ,               ,
2020-03-11,             43,          1.265,              9,              1,               ,              1,
2020-03-12,             70,          1.628,             27,              1,            1.0,              0,
2020-03-13,             90,          1.286,             20,              1,            1.0,              0,
2020-03-14,            129,          1.433,             39,              2,            2.0,              1,
2020-03-15,            170,          1.318,             41,              2,            1.0,              0,
2020-03-16,            223,          1.312,             53,              2,            1.0,              0,
2020-03-17,            292,          1.309,             69,              2,            1.0,              0,
2020-03-18,            366,          1.253,             74,              2,            1.0,              0,
2020-03-19,            557,          1.522,            191,              3,            1.5,              1,
2020-03-20,            683,          1.226,            126,              3,            1.0,              0,
2020-03-21,            785,          1.149,            102,              3,            1.0,              0,
2020-03-22,            906,          1.154,            121,              4,          1.333,              1,
2020-03-23,           1125,          1.242,            219,              6,            1.5,              2,
2020-03-24,           1329,          1.181,            204,              7,          1.167,              1,
2020-03-25,           1564,          1.177,            235,              9,          1.286,              2,
2020-03-26,           1819,          1.163,            255,             19,          2.111,             10,
2020-03-27,           2121,          1.166,            302,             22,          1.158,              3,
2020-03-28,           2415,          1.139,            294,             36,          1.636,             14,
2020-03-29,           2615,          1.083,            200,             46,          1.278,             10,
2020-03-30,           2910,          1.113,            295,             54,          1.174,              8,
2020-03-31,           3235,          1.112,            325,             71,          1.315,             17,
2020-04-01,           3447,          1.066,            212,             85,          1.197,             14,
2020-04-02,           3849,          1.117,            402,             98,          1.153,             13,
2020-04-03,           4273,           1.11,            424,            120,          1.224,             22,
2020-04-04,           4604,          1.077,            331,            137,          1.142,             17,
2020-04-05,           4994,          1.085,            390,            158,          1.153,             21,
