"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              1,              0,              1,              0,              0,              0,
2020-03-20,              2,            2.0,              1,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              5,            2.5,              3,              0,              0,              0,
2020-03-23,             13,            2.6,              8,              0,              0,              0,
2020-03-24,             23,          1.769,             10,              0,              0,              0,
2020-03-25,             23,            1.0,              0,              0,              0,              0,
2020-03-26,             26,           1.13,              3,              0,              0,              0,
2020-03-27,             29,          1.115,              3,              0,              0,              0,
2020-03-28,             32,          1.103,              3,              0,              0,              0,
2020-03-29,             42,          1.312,             10,              0,              0,              0,
2020-03-30,             49,          1.167,              7,              0,              0,              0,
2020-03-31,             60,          1.224,             11,              0,              0,              0,
2020-04-01,             68,          1.133,              8,              1,              0,              1,
2020-04-02,             95,          1.397,             27,              1,            1.0,              0,
2020-04-03,            114,            1.2,             19,              1,            1.0,              0,
2020-04-04,            126,          1.105,             12,              1,            1.0,              0,
2020-04-05,            127,          1.008,              1,              1,            1.0,              0,
2020-04-06,            139,          1.094,             12,              1,            1.0,              0,
2020-04-07,            150,          1.079,             11,              1,            1.0,              0,
2020-04-08,            158,          1.053,              8,              1,            1.0,              0,
2020-04-09,            190,          1.203,             32,              1,            1.0,              0,
2020-04-10,            201,          1.058,             11,              1,            1.0,              0,
