"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,              1,               ,              1,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              2,            2.0,              1,               ,               ,               ,
2020-02-24,              2,            1.0,              0,               ,               ,               ,
2020-02-25,              2,            1.0,              0,               ,               ,               ,
2020-02-26,              2,            1.0,              0,               ,               ,               ,
2020-02-27,              3,            1.5,              1,               ,               ,               ,
2020-02-28,              7,          2.333,              4,               ,               ,               ,
2020-02-29,              7,            1.0,              0,               ,               ,               ,
2020-03-01,             10,          1.429,              3,               ,               ,               ,
2020-03-02,             12,            1.2,              2,               ,               ,               ,
2020-03-03,             12,            1.0,              0,               ,               ,               ,
2020-03-04,             15,           1.25,              3,               ,               ,               ,
2020-03-05,             17,          1.133,              2,               ,               ,               ,
2020-03-06,             21,          1.235,              4,               ,               ,               ,
2020-03-07,             25,           1.19,              4,               ,               ,               ,
2020-03-08,             39,           1.56,             14,               ,               ,               ,
2020-03-09,             50,          1.282,             11,               ,               ,               ,
2020-03-10,             75,            1.5,             25,               ,               ,               ,
2020-03-11,             97,          1.293,             22,               ,               ,               ,
2020-03-12,            109,          1.124,             12,               ,               ,               ,
2020-03-13,            143,          1.312,             34,               ,               ,               ,
2020-03-14,            193,           1.35,             50,               ,               ,               ,
2020-03-15,            213,          1.104,             20,               ,               ,               ,
2020-03-16,            298,          1.399,             85,               ,               ,               ,
2020-03-17,            337,          1.131,             39,               ,               ,               ,
2020-03-18,            433,          1.285,             96,               ,               ,               ,
2020-03-19,            677,          1.564,            244,               ,               ,               ,
2020-03-20,            705,          1.041,             28,              1,               ,              1,
2020-03-21,            883,          1.252,            178,              1,            1.0,              0,
2020-03-22,           1071,          1.213,            188,              1,            1.0,              0,
2020-03-23,           1442,          1.346,            371,              1,            1.0,              0,
2020-03-24,           1930,          1.338,            488,              3,            3.0,              2,
2020-03-25,           2369,          1.227,            439,              5,          1.667,              2,
2020-03-26,           2693,          1.137,            324,              8,            1.6,              3,
2020-03-27,           3035,          1.127,            342,             12,            1.5,              4,
2020-03-28,           3619,          1.192,            584,             12,            1.0,              0,
2020-03-29,           4247,          1.174,            628,             15,           1.25,              3,
2020-03-30,           4695,          1.105,            448,             16,          1.067,              1,
2020-03-31,           5358,          1.141,            663,             20,           1.25,              4,
2020-04-01,           6092,          1.137,            734,             26,            1.3,              6,
2020-04-02,           6857,          1.126,            765,             36,          1.385,             10,
2020-04-03,           7428,          1.083,            571,             40,          1.111,              4,
2020-04-04,           7851,          1.057,            423,             44,            1.1,              4,
