"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              3,              0,              3,              0,              0,              0,
2020-02-16,              3,            1.0,              0,              0,              0,              0,
2020-02-17,              3,            1.0,              0,              0,              0,              0,
2020-02-18,              3,            1.0,              0,              0,              0,              0,
2020-02-19,              3,            1.0,              0,              0,              0,              0,
2020-02-20,              4,          1.333,              1,              0,              0,              0,
2020-02-21,             21,           5.25,             17,              1,              0,              1,
2020-02-22,             79,          3.762,             58,              2,            2.0,              1,
2020-02-23,            157,          1.987,             78,              3,            1.5,              1,
2020-02-24,            229,          1.459,             72,              7,          2.333,              4,
2020-02-25,            323,           1.41,             94,             11,          1.571,              4,
2020-02-26,            470,          1.455,            147,             12,          1.091,              1,
2020-02-27,            655,          1.394,            185,             17,          1.417,              5,
2020-02-28,            889,          1.357,            234,             21,          1.235,              4,
2020-02-29,           1128,          1.269,            239,             29,          1.381,              8,
2020-03-01,           1701,          1.508,            573,             41,          1.414,             12,
2020-03-02,           2036,          1.197,            335,             52,          1.268,             11,
2020-03-03,           2502,          1.229,            466,             79,          1.519,             27,
2020-03-04,           3089,          1.235,            587,            107,          1.354,             28,
2020-03-05,           3858,          1.249,            769,            148,          1.383,             41,
2020-03-06,           4636,          1.202,            778,            197,          1.331,             49,
2020-03-07,           5883,          1.269,           1247,            233,          1.183,             36,
2020-03-08,           7375,          1.254,           1492,            366,          1.571,            133,
2020-03-09,           9172,          1.244,           1797,            463,          1.265,             97,
2020-03-10,          10149,          1.107,            977,            631,          1.363,            168,
2020-03-11,          12462,          1.228,           2313,            827,          1.311,            196,
2020-03-12,          15113,          1.213,           2651,           1016,          1.229,            189,
2020-03-13,          17660,          1.169,           2547,           1266,          1.246,            250,
2020-03-14,          21157,          1.198,           3497,           1441,          1.138,            175,
2020-03-15,          24747,           1.17,           3590,           1809,          1.255,            368,
2020-03-16,          27980,          1.131,           3233,           2158,          1.193,            349,
2020-03-17,          31506,          1.126,           3526,           2503,           1.16,            345,
2020-03-18,          35713,          1.134,           4207,           2978,           1.19,            475,
2020-03-19,          41035,          1.149,           5322,           3405,          1.143,            427,
2020-03-20,          47021,          1.146,           5986,           4032,          1.184,            627,
2020-03-21,          53578,          1.139,           6557,           4825,          1.197,            793,
2020-03-22,          59138,          1.104,           5560,           5476,          1.135,            651,
2020-03-23,          63927,          1.081,           4789,           6077,           1.11,            601,
2020-03-24,          69176,          1.082,           5249,           6820,          1.122,            743,
2020-03-25,          74386,          1.075,           5210,           7503,            1.1,            683,
2020-03-26,          80589,          1.083,           6203,           8215,          1.095,            712,
2020-03-27,          86498,          1.073,           5909,           9134,          1.112,            919,
2020-03-28,          92472,          1.069,           5974,          10023,          1.097,            889,
2020-03-29,          97689,          1.056,           5217,          10779,          1.075,            756,
2020-03-30,         101739,          1.041,           4050,          11591,          1.075,            812,
2020-03-31,         105792,           1.04,           4053,          12428,          1.072,            837,
2020-04-01,         110574,          1.045,           4782,          13155,          1.058,            727,
2020-04-02,         115242,          1.042,           4668,          13915,          1.058,            760,
2020-04-03,         119827,           1.04,           4585,          14681,          1.055,            766,
2020-04-04,         124632,           1.04,           4805,          15362,          1.046,            681,
2020-04-05,         128948,          1.035,           4316,          15887,          1.034,            525,
2020-04-06,         132547,          1.028,           3599,          16523,           1.04,            636,
2020-04-07,         135586,          1.023,           3039,          17127,          1.037,            604,
2020-04-08,         139422,          1.028,           3836,          17669,          1.032,            542,
2020-04-09,         143626,           1.03,           4204,          18279,          1.035,            610,
2020-04-10,         147577,          1.028,           3951,          18849,          1.031,            570,
