"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              1,              0,              1,              0,              0,              0,
2020-03-11,              2,            2.0,              1,              0,              0,              0,
2020-03-12,              2,            1.0,              0,              0,              0,              0,
2020-03-13,              8,            4.0,              6,              0,              0,              0,
2020-03-14,              8,            1.0,              0,              0,              0,              0,
2020-03-15,             10,           1.25,              2,              0,              0,              0,
2020-03-16,             12,            1.2,              2,              0,              0,              0,
2020-03-17,             13,          1.083,              1,              0,              0,              0,
2020-03-18,             15,          1.154,              2,              1,              0,              1,
2020-03-19,             15,            1.0,              0,              1,            1.0,              0,
2020-03-20,             19,          1.267,              4,              1,            1.0,              0,
2020-03-21,             19,            1.0,              0,              1,            1.0,              0,
2020-03-22,             19,            1.0,              0,              1,            1.0,              0,
2020-03-23,             19,            1.0,              0,              1,            1.0,              0,
2020-03-24,             21,          1.105,              2,              1,            1.0,              0,
2020-03-25,             26,          1.238,              5,              1,            1.0,              0,
2020-03-26,             26,            1.0,              0,              1,            1.0,              0,
2020-03-27,             26,            1.0,              0,              1,            1.0,              0,
2020-03-28,             30,          1.154,              4,              1,            1.0,              0,
2020-03-29,             32,          1.067,              2,              1,            1.0,              0,
2020-03-30,             36,          1.125,              4,              1,            1.0,              0,
2020-03-31,             38,          1.056,              2,              2,            2.0,              1,
2020-04-01,             44,          1.158,              6,              3,            1.5,              1,
2020-04-02,             47,          1.068,              3,              3,            1.0,              0,
2020-04-03,             53,          1.128,              6,              3,            1.0,              0,
2020-04-04,             53,            1.0,              0,              3,            1.0,              0,
2020-04-05,             58,          1.094,              5,              3,            1.0,              0,
2020-04-06,             59,          1.017,              1,              3,            1.0,              0,
2020-04-07,             63,          1.068,              4,              3,            1.0,              0,
2020-04-08,             63,            1.0,              0,              4,          1.333,              1,
2020-04-09,             63,            1.0,              0,              4,            1.0,              0,
2020-04-10,             63,            1.0,              0,              4,            1.0,              0,
