"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             53,               ,             53,              1,               ,              1,
2020-02-16,             59,          1.113,              6,              1,            1.0,              0,
2020-02-17,             66,          1.119,              7,              1,            1.0,              0,
2020-02-18,             74,          1.121,              8,              1,            1.0,              0,
2020-02-19,             84,          1.135,             10,              1,            1.0,              0,
2020-02-20,             94,          1.119,             10,              1,            1.0,              0,
2020-02-21,            109,           1.16,             15,              1,            1.0,              0,
2020-02-22,            134,          1.229,             25,              1,            1.0,              0,
2020-02-23,            146,           1.09,             12,              1,            1.0,              0,
2020-02-24,            159,          1.089,             13,              1,            1.0,              0,
2020-02-25,            161,          1.013,              2,              1,            1.0,              0,
2020-02-26,            172,          1.068,             11,              3,            3.0,              2,
2020-02-27,            214,          1.244,             42,              4,          1.333,              1,
2020-02-28,            233,          1.089,             19,              5,           1.25,              1,
2020-02-29,            241,          1.034,              8,              5,            1.0,              0,
2020-03-01,            256,          1.062,             15,              6,            1.2,              1,
2020-03-02,            274,           1.07,             18,              6,            1.0,              0,
2020-03-03,            293,          1.069,             19,              6,            1.0,              0,
2020-03-04,            331,           1.13,             38,              6,            1.0,              0,
2020-03-05,            364,            1.1,             33,              6,            1.0,              0,
2020-03-06,            420,          1.154,             56,              6,            1.0,              0,
2020-03-07,            461,          1.098,             41,              6,            1.0,              0,
2020-03-08,            502,          1.089,             41,              7,          1.167,              1,
2020-03-09,            530,          1.056,             28,              9,          1.286,              2,
2020-03-10,            587,          1.108,             57,             12,          1.333,              3,
2020-03-11,            639,          1.089,             52,             15,           1.25,              3,
2020-03-12,            691,          1.081,             52,             19,          1.267,              4,
2020-03-13,            734,          1.062,             43,             21,          1.105,              2,
2020-03-14,            804,          1.095,             70,             22,          1.048,              1,
2020-03-15,            833,          1.036,             29,             24,          1.091,              2,
2020-03-16,            850,           1.02,             17,             28,          1.167,              4,
2020-03-17,            878,          1.033,             28,             29,          1.036,              1,
2020-03-18,            914,          1.041,             36,             29,            1.0,              0,
2020-03-19,            943,          1.032,             29,             33,          1.138,              4,
2020-03-20,           1007,          1.068,             64,             35,          1.061,              2,
2020-03-21,           1054,          1.047,             47,             36,          1.029,              1,
2020-03-22,           1101,          1.045,             47,             41,          1.139,              5,
2020-03-23,           1128,          1.025,             27,             42,          1.024,              1,
2020-03-24,           1193,          1.058,             65,             43,          1.024,              1,
2020-03-25,           1307,          1.096,            114,             45,          1.047,              2,
2020-03-26,           1387,          1.061,             80,             47,          1.044,              2,
2020-03-27,           1499,          1.081,            112,             49,          1.043,              2,
2020-03-28,           1693,          1.129,            194,             52,          1.061,              3,
2020-03-29,           1866,          1.102,            173,             54,          1.038,              2,
2020-03-30,           1953,          1.047,             87,             56,          1.037,              2,
2020-03-31,           2178,          1.115,            225,             57,          1.018,              1,
2020-04-01,           2384,          1.095,            206,             57,            1.0,              0,
2020-04-02,           2617,          1.098,            233,             63,          1.105,              6,
2020-04-03,           2935,          1.122,            318,             69,          1.095,              6,
2020-04-04,           3139,           1.07,            204,             77,          1.116,              8,
2020-04-05,           3654,          1.164,            515,             85,          1.104,              8,
