"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              4,              0,              4,              0,              0,              0,
2020-03-14,              6,            1.5,              2,              0,              0,              0,
2020-03-15,              9,            1.5,              3,              0,              0,              0,
2020-03-16,             10,          1.111,              1,              0,              0,              0,
2020-03-17,             33,            3.3,             23,              0,              0,              0,
2020-03-18,             36,          1.091,              3,              0,              0,              0,
2020-03-19,             44,          1.222,              8,              0,              0,              0,
2020-03-20,             52,          1.182,              8,              0,              0,              0,
2020-03-21,             54,          1.038,              2,              0,              0,              0,
2020-03-22,             60,          1.111,              6,              0,              0,              0,
2020-03-23,             62,          1.033,              2,              0,              0,              0,
2020-03-24,             72,          1.161,             10,              0,              0,              0,
2020-03-25,             81,          1.125,              9,              0,              0,              0,
2020-03-26,            113,          1.395,             32,              1,              0,              1,
2020-03-27,            150,          1.327,             37,              1,            1.0,              0,
2020-03-28,            228,           1.52,             78,              1,            1.0,              0,
2020-03-29,            284,          1.246,             56,              1,            1.0,              0,
2020-03-30,            302,          1.063,             18,              1,            1.0,              0,
2020-03-31,            343,          1.136,             41,              2,            2.0,              1,
2020-04-01,            380,          1.108,             37,              3,            1.5,              1,
2020-04-02,            435,          1.145,             55,              3,            1.0,              0,
2020-04-03,            464,          1.067,             29,              3,            1.0,              0,
2020-04-04,            531,          1.144,             67,              5,          1.667,              2,
2020-04-05,            584,            1.1,             53,              6,            1.2,              1,
2020-04-06,            662,          1.134,             78,              6,            1.0,              0,
2020-04-07,            697,          1.053,             35,              6,            1.0,              0,
2020-04-08,            727,          1.043,             30,              7,          1.167,              1,
2020-04-09,            781,          1.074,             54,              8,          1.143,              1,
2020-04-10,            812,           1.04,             31,             10,           1.25,              2,
