"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,               ,               ,               ,               ,               ,               ,
2020-03-12,               ,               ,               ,               ,               ,               ,
2020-03-13,              1,               ,              1,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              3,            3.0,              2,               ,               ,               ,
2020-03-16,              3,            1.0,              0,               ,               ,               ,
2020-03-17,              4,          1.333,              1,               ,               ,               ,
2020-03-18,              7,           1.75,              3,               ,               ,               ,
2020-03-19,              7,            1.0,              0,               ,               ,               ,
2020-03-20,              7,            1.0,              0,               ,               ,               ,
2020-03-21,              7,            1.0,              0,               ,               ,               ,
2020-03-22,             15,          2.143,              8,               ,               ,               ,
2020-03-23,             16,          1.067,              1,               ,               ,               ,
2020-03-24,             25,          1.562,              9,               ,               ,               ,
2020-03-25,             28,           1.12,              3,               ,               ,               ,
2020-03-26,             31,          1.107,              3,              1,               ,              1,
2020-03-27,             31,            1.0,              0,              1,            1.0,              0,
2020-03-28,             38,          1.226,              7,              1,            1.0,              0,
2020-03-29,             42,          1.105,              4,              1,            1.0,              0,
2020-03-30,             50,           1.19,              8,              1,            1.0,              0,
2020-03-31,             59,           1.18,              9,              1,            1.0,              0,
2020-04-01,             81,          1.373,             22,              1,            1.0,              0,
2020-04-02,            110,          1.358,             29,              3,            3.0,              2,
2020-04-03,            122,          1.109,             12,              4,          1.333,              1,
2020-04-04,            126,          1.033,              4,              4,            1.0,              0,
2020-04-05,            142,          1.127,             16,              4,            1.0,              0,
