"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              5,              0,              5,              0,              0,              0,
2020-02-25,             11,            2.2,              6,              0,              0,              0,
2020-02-26,             26,          2.364,             15,              0,              0,              0,
2020-02-27,             43,          1.654,             17,              0,              0,              0,
2020-02-28,             45,          1.047,              2,              0,              0,              0,
2020-02-29,             45,            1.0,              0,              0,              0,              0,
2020-03-01,             46,          1.022,              1,              0,              0,              0,
2020-03-02,             56,          1.217,             10,              0,              0,              0,
2020-03-03,             56,            1.0,              0,              0,              0,              0,
2020-03-04,             56,            1.0,              0,              0,              0,              0,
2020-03-05,             58,          1.036,              2,              0,              0,              0,
2020-03-06,             58,            1.0,              0,              0,              0,              0,
2020-03-07,             61,          1.052,              3,              0,              0,              0,
2020-03-08,             64,          1.049,              3,              0,              0,              0,
2020-03-09,             65,          1.016,              1,              0,              0,              0,
2020-03-10,             69,          1.062,              4,              0,              0,              0,
2020-03-11,             72,          1.043,              3,              0,              0,              0,
2020-03-12,             80,          1.111,              8,              0,              0,              0,
2020-03-13,            100,           1.25,             20,              0,              0,              0,
2020-03-14,            104,           1.04,              4,              0,              0,              0,
2020-03-15,            112,          1.077,              8,              0,              0,              0,
2020-03-16,            123,          1.098,             11,              0,              0,              0,
2020-03-17,            130,          1.057,              7,              0,              0,              0,
2020-03-18,            142,          1.092,             12,              0,              0,              0,
2020-03-19,            148,          1.042,              6,              0,              0,              0,
2020-03-20,            159,          1.074,             11,              0,              0,              0,
2020-03-21,            176,          1.107,             17,              0,              0,              0,
2020-03-22,            188,          1.068,             12,              0,              0,              0,
2020-03-23,            189,          1.005,              1,              0,              0,              0,
2020-03-24,            191,          1.011,              2,              0,              0,              0,
2020-03-25,            195,          1.021,              4,              0,              0,              0,
2020-03-26,            208,          1.067,             13,              0,              0,              0,
2020-03-27,            225,          1.082,             17,              0,              0,              0,
2020-03-28,            235,          1.044,             10,              0,              0,              0,
2020-03-29,            255,          1.085,             20,              0,              0,              0,
2020-03-30,            266,          1.043,             11,              0,              0,              0,
2020-03-31,            289,          1.086,             23,              0,              0,              0,
2020-04-01,            317,          1.097,             28,              0,              0,              0,
2020-04-02,            342,          1.079,             25,              0,              0,              0,
2020-04-03,            417,          1.219,             75,              0,              0,              0,
2020-04-04,            479,          1.149,             62,              1,              0,              1,
2020-04-05,            556,          1.161,             77,              1,            1.0,              0,
2020-04-06,            665,          1.196,            109,              1,            1.0,              0,
2020-04-07,            743,          1.117,             78,              1,            1.0,              0,
2020-04-08,            855,          1.151,            112,              1,            1.0,              0,
2020-04-09,            910,          1.064,             55,              1,            1.0,              0,
2020-04-10,            993,          1.091,             83,              1,            1.0,              0,
