"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              3,              0,              3,              0,              0,              0,
2020-03-19,              3,            1.0,              0,              0,              0,              0,
2020-03-20,              6,            2.0,              3,              0,              0,              0,
2020-03-21,             14,          2.333,              8,              0,              0,              0,
2020-03-22,             14,            1.0,              0,              0,              0,              0,
2020-03-23,             16,          1.143,              2,              0,              0,              0,
2020-03-24,             42,          2.625,             26,              0,              0,              0,
2020-03-25,             44,          1.048,              2,              0,              0,              0,
2020-03-26,             44,            1.0,              0,              0,              0,              0,
2020-03-27,             58,          1.318,             14,              0,              0,              0,
2020-03-28,             58,            1.0,              0,              0,              0,              0,
2020-03-29,             84,          1.448,             26,              0,              0,              0,
2020-03-30,             94,          1.119,             10,              0,              0,              0,
2020-03-31,            107,          1.138,             13,              0,              0,              0,
2020-04-01,            111,          1.037,              4,              0,              0,              0,
2020-04-02,            116,          1.045,              5,              0,              0,              0,
2020-04-03,            130,          1.121,             14,              1,              0,              1,
2020-04-04,            144,          1.108,             14,              1,            1.0,              0,
2020-04-05,            147,          1.021,              3,              1,            1.0,              0,
2020-04-06,            216,          1.469,             69,              4,            4.0,              3,
2020-04-07,            228,          1.056,             12,              4,            1.0,              0,
2020-04-08,            270,          1.184,             42,              4,            1.0,              0,
2020-04-09,            280,          1.037,             10,              4,            1.0,              0,
2020-04-10,            298,          1.064,             18,              5,           1.25,              1,
