"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              1,              0,              1,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              3,            3.0,              2,              0,              0,              0,
2020-03-09,              6,            2.0,              3,              0,              0,              0,
2020-03-10,              8,          1.333,              2,              0,              0,              0,
2020-03-11,             10,           1.25,              2,              0,              0,              0,
2020-03-12,             16,            1.6,              6,              0,              0,              0,
2020-03-13,             17,          1.062,              1,              0,              0,              0,
2020-03-14,             26,          1.529,              9,              0,              0,              0,
2020-03-15,             30,          1.154,              4,              0,              0,              0,
2020-03-16,             34,          1.133,              4,              0,              0,              0,
2020-03-17,             60,          1.765,             26,              0,              0,              0,
2020-03-18,             71,          1.183,             11,              0,              0,              0,
2020-03-19,             86,          1.211,             15,              0,              0,              0,
2020-03-20,            111,          1.291,             25,              0,              0,              0,
2020-03-21,            124,          1.117,             13,              0,              0,              0,
2020-03-22,            139,          1.121,             15,              0,              0,              0,
2020-03-23,            180,          1.295,             41,              0,              0,              0,
2020-03-24,            197,          1.094,             17,              0,              0,              0,
2020-03-25,            221,          1.122,             24,              0,              0,              0,
2020-03-26,            244,          1.104,             23,              0,              0,              0,
2020-03-27,            280,          1.148,             36,              0,              0,              0,
2020-03-28,            305,          1.089,             25,              0,              0,              0,
2020-03-29,            347,          1.138,             42,              0,              0,              0,
2020-03-30,            376,          1.084,             29,              0,              0,              0,
2020-03-31,            398,          1.059,             22,              0,              0,              0,
2020-04-01,            446,          1.121,             48,              0,              0,              0,
2020-04-02,            458,          1.027,             12,              0,              0,              0,
2020-04-03,            493,          1.076,             35,              1,              0,              1,
2020-04-04,            509,          1.032,             16,              1,            1.0,              0,
2020-04-05,            533,          1.047,             24,              1,            1.0,              0,
2020-04-06,            542,          1.017,              9,              1,            1.0,              0,
2020-04-07,            548,          1.011,              6,              2,            2.0,              1,
2020-04-08,            577,          1.053,             29,              2,            1.0,              0,
2020-04-09,            589,          1.021,             12,              3,            1.5,              1,
2020-04-10,            612,          1.039,             23,              3,            1.0,              0,
