"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,              1,               ,              1,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              2,            2.0,              1,               ,               ,               ,
2020-02-27,              3,            1.5,              1,               ,               ,               ,
2020-02-28,              4,          1.333,              1,               ,               ,               ,
2020-02-29,              7,           1.75,              3,               ,               ,               ,
2020-03-01,             10,          1.429,              3,               ,               ,               ,
2020-03-02,             13,            1.3,              3,               ,               ,               ,
2020-03-03,             13,            1.0,              0,               ,               ,               ,
2020-03-04,             15,          1.154,              2,               ,               ,               ,
2020-03-05,             16,          1.067,              1,               ,               ,               ,
2020-03-06,             22,          1.375,              6,               ,               ,               ,
2020-03-07,             28,          1.273,              6,               ,               ,               ,
2020-03-08,             32,          1.143,              4,               ,               ,               ,
2020-03-09,             41,          1.281,              9,               ,               ,               ,
2020-03-10,             52,          1.268,             11,              1,               ,              1,
2020-03-11,             68,          1.308,             16,              2,            2.0,              1,
2020-03-12,             68,            1.0,              0,              3,            1.5,              1,
2020-03-13,             77,          1.132,              9,              3,            1.0,              0,
2020-03-14,             93,          1.208,             16,              3,            1.0,              0,
2020-03-15,            110,          1.183,             17,              3,            1.0,              0,
2020-03-16,            109,          0.991,             -1,              3,            1.0,              0,
2020-03-17,            124,          1.138,             15,              4,          1.333,              1,
2020-03-18,            133,          1.073,              9,              4,            1.0,              0,
2020-03-19,            157,           1.18,             24,              4,            1.0,              0,
2020-03-20,            177,          1.127,             20,              4,            1.0,              0,
2020-03-21,            230,          1.299,             53,              4,            1.0,              0,
2020-03-22,            248,          1.078,             18,              4,            1.0,              0,
2020-03-23,            267,          1.077,             19,              4,            1.0,              0,
2020-03-24,            318,          1.191,             51,              4,            1.0,              0,
2020-03-25,            333,          1.047,             15,              6,            1.5,              2,
2020-03-26,            368,          1.105,             35,              6,            1.0,              0,
2020-03-27,            391,          1.062,             23,              8,          1.333,              2,
2020-03-28,            412,          1.054,             21,              8,            1.0,              0,
2020-03-29,            438,          1.063,             26,             10,           1.25,              2,
2020-03-30,            446,          1.018,              8,             11,            1.1,              1,
2020-03-31,            463,          1.038,             17,             12,          1.091,              1,
2020-04-01,            479,          1.035,             16,             14,          1.167,              2,
2020-04-02,            494,          1.031,             15,             16,          1.143,              2,
2020-04-03,            508,          1.028,             14,             17,          1.062,              1,
2020-04-04,            520,          1.024,             12,             17,            1.0,              0,
