"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              0,              0,              0,              0,              0,              0,
2020-03-20,              3,              0,              3,              0,              0,              0,
2020-03-21,              3,            1.0,              0,              0,              0,              0,
2020-03-22,              3,            1.0,              0,              0,              0,              0,
2020-03-23,             12,            4.0,              9,              0,              0,              0,
2020-03-24,             17,          1.417,              5,              0,              0,              0,
2020-03-25,             19,          1.118,              2,              0,              0,              0,
2020-03-26,             23,          1.211,              4,              0,              0,              0,
2020-03-27,             26,           1.13,              3,              0,              0,              0,
2020-03-28,             26,            1.0,              0,              0,              0,              0,
2020-03-29,             39,            1.5,             13,              0,              0,              0,
2020-03-30,             43,          1.103,              4,              0,              0,              0,
2020-03-31,             57,          1.326,             14,              0,              0,              0,
2020-04-01,             57,            1.0,              0,              0,              0,              0,
2020-04-02,             59,          1.035,              2,              0,              0,              0,
2020-04-03,             70,          1.186,             11,              0,              0,              0,
2020-04-04,             70,            1.0,              0,              0,              0,              0,
2020-04-05,             72,          1.029,              2,              0,              0,              0,
2020-04-06,             82,          1.139,             10,              0,              0,              0,
2020-04-07,             88,          1.073,              6,              0,              0,              0,
2020-04-08,             93,          1.057,              5,              0,              0,              0,
2020-04-09,             93,            1.0,              0,              0,              0,              0,
2020-04-10,             93,            1.0,              0,              0,              0,              0,
